Table,Code,Description,num_patient,Score
Medication,C1D,POTASSIUM CHLORIDE ORAL SCALE,36673,13.769290144452013
Medication,C1D,POTASSIUM CHLORIDE IV SCALE,36169,13.769290144452013
Pocedure,900,FERRITIN,146186,13.4890777382112
Diagnosis,NVS019,Other chronic pain,130484,13.010187679617738
Diagnosis,NVS019,Other acute postprocedural pain,32050,13.010187679617738
Diagnosis,NVS019,Other acute postoperative pain,20496,13.010187679617738
Diagnosis,NVS019,Chronic pain syndrome,11165,13.010187679617738
Diagnosis,NVS019,Chronic pain,10927,13.010187679617738
Diagnosis,NVS016,Obstructive sleep apnea (adult) (pediatric),95662,12.968705184519134
Diagnosis,NVS016,"Insomnia, unspecified",66765,12.968705184519134
Diagnosis,NVS016,OSA (obstructive sleep apnea),55171,12.968705184519134
Diagnosis,NVS016,Insomnia,39038,12.968705184519134
Diagnosis,NVS016,Obstructive sleep apnea,33252,12.968705184519134
Pocedure,337,C - REACTIVE PROTEIN,154905,12.931617047375356
Medication,J7C,METOPROLOL TARTRATE 5 MG/5 ML IV SOLN,84578,12.143694976360772
Medication,J7C,METOPROLOL TARTRATE 25 MG PO TABS,58045,12.143694976360772
Medication,J7C,METOPROLOL SUCCINATE 25 MG PO TB24,46815,12.143694976360772
Medication,J7C,METOPROLOL SUCCINATE 50 MG PO TB24,33636,12.143694976360772
Medication,J7C,METOPROLOL TARTRATE 50 MG PO TABS,24930,12.143694976360772
Pocedure,1316,"MAGNESIUM, SERUM/PLASMA",264849,11.712483644420685
Lab result,XUCLAR,"Clarity, urine",220885,11.71059356890461
Medication,Q5P,TRIAMCINOLONE ACETONIDE 0.1 % TP OINT,39692,11.489568950669836
Medication,Q5P,TRIAMCINOLONE ACETONIDE 0.1 % TP CREA,35874,11.489568950669836
Medication,Q5P,CLOBETASOL 0.05 % TP OINT,20720,11.489568950669836
Medication,Q5P,HYDROCORTISONE 2.5 % TP CREA,18978,11.489568950669836
Medication,Q5P,FLUOCINONIDE 0.05 % TP OINT,13942,11.489568950669836
Medication,S7A,ROCURONIUM 10 MG/ML IV SOLN,127048,11.254069452209343
Medication,S7A,SUCCINYLCHOLINE CHLORIDE 20 MG/ML INJ SOLN,45026,11.254069452209343
Medication,S7A,ONABOTULINUMTOXINA 100 UNIT INJ SOLR,6013,11.254069452209343
Medication,S7A,VECURONIUM BROMIDE 10 MG IV SOLR,5707,11.254069452209343
Medication,S7A,CISATRACURIUM 2 MG/ML IV SOLN,2577,11.254069452209343
Pocedure,1369,"METABOLIC PANEL, COMPREHENSIVE",810054,11.226334579333798
Medication,W4E,METRONIDAZOLE 500 MG PO TABS,32878,10.828242809127868
Medication,W4E,METRONIDAZOLE IN NACL (ISO-OS) 500 MG/100 ML IV PGBK,26423,10.828242809127868
Medication,W4E,METRONIDAZOLE 250 MG PO TABS,4336,10.828242809127868
Medication,W4E,FLAGYL 500 MG PO TABS,2383,10.828242809127868
Medication,W4E,FLAGYL 250 MG PO TABS,688,10.828242809127868
Pocedure,17587,OT ONGOING TREATMENT,89928,10.783168703477422
Lab result,AST,"AST (SGOT), Ser/Plas",813935,10.73515381629962
Lab result,AST,AST (Manual Entry) See EMR for details,111398,10.73515381629962
Lab result,AST,AST,7194,10.73515381629962
Lab result,NA,"Sodium, Ser/Plas",914528,10.56162258867142
Lab result,NA,"Sodium, Whole Blood",117026,10.56162258867142
Lab result,NA,Sodium (Manual Entry) See EMR for details,108406,10.56162258867142
Lab result,NA,"Sodium, ISTAT",71442,10.56162258867142
Lab result,NA,"Sodium, whole blood, ePOC",624,10.56162258867142
Lab result,RDW,RDW,974552,10.523889629915512
Lab result,RDW,RDW (MANUAL ENTRY) See EMR for details,4076,10.523889629915512
Pocedure,1453,NURSING PULSE OXIMETRY,344721,10.23740814485334
Pocedure,2261,URINALYSIS WITH MICROSCOPIC,358343,10.068334124007896
Pocedure,2261,"URINALYSIS, COMPLETE",401,10.068334124007896
Lab result,EOSAB,"EOS, ABS",570480,10.054158945195455
Lab result,EOSAB,"Eosinophil, Absolute",386713,10.054158945195455
Lab result,EOSAB,"Eosinophils, ABS (man diff)",39330,10.054158945195455
Lab result,EOSAB,"Eos, ABS (man diff)",29133,10.054158945195455
Medication,M9V,APIXABAN 5 MG PO TABS,17722,9.902816437318688
Medication,M9V,ELIQUIS 5 MG PO TABS,15041,9.902816437318688
Medication,M9V,XARELTO 20 MG PO TABS,12700,9.902816437318688
Medication,M9V,RIVAROXABAN 20 MG PO TABS,9162,9.902816437318688
Medication,M9V,APIXABAN 2.5 MG PO TABS,7443,9.902816437318688
Pocedure,26702,NURSING COMMUNICATION(FOR ORDERSET ONLY),241691,9.833095063477604
Pocedure,26702,NURSING COMMUNICATION,46176,9.833095063477604
Lab result,ALB,"Albumin, Ser/Plas",800563,9.642897634844733
Lab result,ALB,ALBUMIN BLD  (MANUAL ENTRY) See EMR for details,9434,9.642897634844733
Lab result,ALB,Albumin,7018,9.642897634844733
Lab result,ALB,"Albumin, Serum",50,9.642897634844733
Diagnosis,SYM013,Shortness of breath,123781,9.544009868342403
Diagnosis,SYM013,"Dyspnea, unspecified",36590,9.544009868342403
Diagnosis,SYM013,Nasal congestion,34025,9.544009868342403
Diagnosis,SYM013,SOB (shortness of breath),32192,9.544009868342403
Diagnosis,SYM013,Hypoxemia,26795,9.544009868342403
Diagnosis,DIG025,"Constipation, unspecified",53129,9.400352436794869
Diagnosis,DIG025,"Constipation, unspecified constipation type",35681,9.400352436794869
Diagnosis,DIG025,Unspecified constipation,28743,9.400352436794869
Diagnosis,DIG025,Constipation,28074,9.400352436794869
Diagnosis,DIG025,Other specified diseases of intestine,17246,9.400352436794869
Medication,J5E,EPHEDRINE SULFATE 50 MG/ML INJ SOLN,112778,9.2832552912817
Medication,J5E,PHENYLEPHRINE HCL 10 MG/ML INJ SOLN,107666,9.2832552912817
Medication,J5E,PHENYLEPHRINE HCL IN 0.9% NACL 40 MG/250 ML (160 MCG/ML) IV SOLN,7776,9.2832552912817
Medication,J5E,PHENYLEPHRINE IN 0.9% NACL(PF) 0.5 MG/5 ML (100 MCG/ML) IV SYRG,3399,9.2832552912817
Medication,J5E,PHENYLEPHRINE HCL IN 0.9% NACL 1 MG/10 ML (100 MCG/ML) IV SYRG,2543,9.2832552912817
Medication,M9P,ASPIRIN 81 MG PO TBEC,172290,9.212650312963644
Medication,M9P,ASPIRIN 81 MG PO CHEW,80379,9.212650312963644
Medication,M9P,CLOPIDOGREL 75 MG PO TABS,35825,9.212650312963644
Medication,M9P,PLAVIX 75 MG PO TABS,14580,9.212650312963644
Medication,M9P,ASPIRIN 81 MG PO TABS,14063,9.212650312963644
Medication,Z9D,GADOBUTROL 1 MMOL/ML IV SOLUTION (RADIOLOGY) 7.5 ML,17358,8.868808467316324
Medication,Z9D,GADOBUTROL 1 MMOL/ML IV SOLUTION (RADIOLOGY) 10 ML,11980,8.868808467316324
Medication,Z9D,GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML INJ SOLR,5282,8.868808467316324
Medication,Z9D,GLUCAGON HCL 1 MG INJ SOLR,3180,8.868808467316324
Medication,Z9D,ISOSULFAN BLUE 1 % SC SOLN,2912,8.868808467316324
Lab result,LYMAB,"LYM, ABS",496919,8.780211944239687
Lab result,LYMAB,"Lymphocyte, Absolute",386943,8.780211944239687
Lab result,LYMAB,"Lymphocytes, ABS (man diff)",53200,8.780211944239687
Lab result,LYMAB,"Lym, ABS (man diff)",43787,8.780211944239687
Lab result,LYMAB,"Lymphocytes, Abs.",24480,8.780211944239687
Pocedure,787,ECG 12-LEAD,436235,8.643221305403301
Diagnosis,DIG022,"Noninfective gastroenteritis and colitis, unspecified",22303,8.410318523175443
Diagnosis,DIG022,Other and unspecified noninfectious gastroenteritis and colitis(558.9),12883,8.410318523175443
Diagnosis,DIG022,Gastroenteritis,7955,8.410318523175443
Diagnosis,DIG022,Chronic diarrhea,6116,8.410318523175443
Diagnosis,DIG022,Other specified noninfective gastroenteritis and colitis,4456,8.410318523175443
Diagnosis,RSP009,"Unspecified asthma, uncomplicated",47317,8.300600805406981
Diagnosis,RSP009,Unspecified asthma(493.90),35777,8.300600805406981
Diagnosis,RSP009,Asthma,35345,8.300600805406981
Diagnosis,RSP009,"Mild intermittent asthma, uncomplicated",22176,8.300600805406981
Diagnosis,RSP009,Mild intermittent asthma without complication,10461,8.300600805406981
Medication,C1W,LACTATED RINGERS IV SOLP,198859,8.0750503226238
Medication,C1W,ELECTROLYTE-R (PH 7.4) IV SOLP,91300,8.0750503226238
Medication,C1W,ELECTROLYTE-R IV SOLP,88933,8.0750503226238
Medication,C1W,ARTIFICIAL SALIVA (YERBAS-LYT) MM SPRA,2212,8.0750503226238
Medication,C1W,ELECTROLYTE-A IV SOLP,1140,8.0750503226238
Medication,D6S,POLYETHYLENE GLYCOL 3350 17 GRAM PO PWPK,156512,8.032180560197942
Medication,D6S,DOCUSATE SODIUM 100 MG PO CAPS,150635,8.032180560197942
Medication,D6S,SENNOSIDES 8.6 MG PO TABS,145474,8.032180560197942
Medication,D6S,DOCUSATE SODIUM 250 MG PO CAPS,108750,8.032180560197942
Medication,D6S,MAGNESIUM HYDROXIDE 400 MG/5 ML PO SUSP,91861,8.032180560197942
Lab result,GLUURN,"Glucose, urine",220885,7.906078872673227
Lab result,GLUURN,Glucose Urine,99481,7.906078872673227
Lab result,GLUURN,"Glucose, Urine POC",14235,7.906078872673227
Lab result,GLUURN,"Glucose, Urine",359,7.906078872673227
Lab result,GLUURN,Urine Glucose,328,7.906078872673227
Lab result,NRBCPERCENT,"nRBC, %",228738,7.826097458599933
Lab result,NRBCABSOLUTE,"nRBC, Abs",228741,7.812520275424106
Medication,H0A,LIDOCAINE (PF) 10 MG/ML (1 %) INJ SOLN,176397,7.643157939173384
Medication,H0A,LIDOCAINE (PF) 20 MG/ML (2 %) INJ SOLN,132838,7.643157939173384
Medication,H0A,LIDOCAINE HCL 10 MG/ML (1 %) INJ SOLN,57440,7.643157939173384
Medication,H0A,"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJ SOLN",46048,7.643157939173384
Medication,H0A,BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG,37590,7.643157939173384
Medication,Q7P,FLUTICASONE 50 MCG/ACTUATION NASAL SPSN,81341,7.570648503328821
Medication,Q7P,FLUTICASONE PROPIONATE 50 MCG/ACTUATION NASAL SPSN,35113,7.570648503328821
Medication,Q7P,FLONASE 50 MCG/ACTUATION NASAL SPSN,15207,7.570648503328821
Medication,Q7P,MOMETASONE 50 MCG/ACTUATION NASAL SPRY,12571,7.570648503328821
Medication,Q7P,FLONASE NASAL,12214,7.570648503328821
Lab result,XPTT,Part. Thromboplastin Time,120024,7.404946197487897
Pocedure,958,FULL CODE,223542,7.404169142958365
Diagnosis,NEO074,Neoplasm related pain (acute) (chronic),10444,7.172854124291678
Diagnosis,NEO074,Cancer related pain,3738,7.172854124291678
Diagnosis,NEO074,Malignant pleural effusion,3239,7.172854124291678
Diagnosis,NEO074,Malignant ascites,2529,7.172854124291678
Diagnosis,NEO074,Neoplastic (malignant) related fatigue,1762,7.172854124291678
Medication,A6U,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 100 ML,33469,6.867544208621121
Medication,A6U,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 500 ML,25229,6.867544208621121
Medication,A6U,IOPAMIDOL 61 % IV SOLN (RADIOLOGY) 150 ML,16352,6.867544208621121
Medication,A6U,IOPAMIDOL 61 % IV SOLN (RADIOLOGY) 100 ML,15215,6.867544208621121
Medication,A6U,IOPAMIDOL 76 % IV SOLN (RADIOLOGY) 150 ML,14381,6.867544208621121
Diagnosis,DIG004,Gastro-esophageal reflux disease without esophagitis,107514,6.828684038489969
Diagnosis,DIG004,Esophageal reflux,59420,6.828684038489969
Diagnosis,DIG004,GERD (gastroesophageal reflux disease),49864,6.828684038489969
Diagnosis,DIG004,"Gastroesophageal reflux disease, esophagitis presence not specified",40948,6.828684038489969
Diagnosis,DIG004,Gastroesophageal reflux disease without esophagitis,23961,6.828684038489969
Lab result,XSQEP,Squamous Cells,158621,6.5916057944824304
Diagnosis,SYM014,Anesthesia of skin,28282,6.529845449095936
Diagnosis,SYM014,Paresthesia of skin,27225,6.529845449095936
Diagnosis,SYM014,Disturbance of skin sensation,25084,6.529845449095936
Diagnosis,SYM014,"Localized swelling, mass and lump, neck",11108,6.529845449095936
Diagnosis,SYM014,"Localized swelling, mass and lump, head",10788,6.529845449095936
Medication,H4B,GABAPENTIN 300 MG PO CAPS,114317,6.413566583831745
Medication,H4B,GABAPENTIN 100 MG PO CAPS,59419,6.413566583831745
Medication,H4B,GABAPENTIN 600 MG PO TABS,23439,6.413566583831745
Medication,H4B,LEVETIRACETAM 500 MG PO TABS,13198,6.413566583831745
Medication,H4B,TOPIRAMATE 25 MG PO TABS,9580,6.413566583831745
Medication,M9K,ENOXAPARIN 40 MG/0.4 ML SC SYRG,83526,6.250238001790113
Medication,M9K,"HEPARIN, PORCINE (PF) 5,000 UNIT/0.5 ML INJ SOLN",65177,6.250238001790113
Medication,M9K,"HEPARIN, PORCINE (PF) 100 UNIT/ML IV SYRG",38558,6.250238001790113
Medication,M9K,"HEPARIN (PORCINE) 1,000 UNIT/ML INJ SOLN",33588,6.250238001790113
Medication,M9K,ENOXAPARIN 30 MG/0.3 ML SC SYRG,19047,6.250238001790113
Medication,H3H,FENTANYL (PF) 50 MCG/ML INJECTION,226038,6.035362671701175
Medication,H3H,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN (WRAPPER RECORD),123921,6.035362671701175
Medication,H3H,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,69918,6.035362671701175
Medication,H3H,REMIFENTANIL 2 MG IV SOLR,39830,6.035362671701175
Medication,H3H,ALFENTANIL 500 MCG/ML INJ SOLN,15149,6.035362671701175
Medication,Q5H,LIDOCAINE 4 % TP CREA,50103,5.990498883372523
Medication,Q5H,LIDOCAINE 5 % TP PTMD,44421,5.990498883372523
Medication,Q5H,LIDOCAINE-PRILOCAINE 2.5-2.5 % TP CREA,15900,5.990498883372523
Medication,Q5H,BUTAMBEN-TETRACAINE-BENZOCAINE 2 %-2 %-14 % (200 MG/SEC) TP SPRA,13857,5.990498883372523
Medication,Q5H,LIDOCAINE 5 %(700 MG/PATCH) TP PTMD,13442,5.990498883372523
Medication,D0U,"BARIUM SULFATE 40 % (W/V), 30% (W/W) PO PSTE",5976,5.974397462829918
Medication,D0U,BARIUM SULFATE 40 % (W/V) PO SUSP,5375,5.974397462829918
Medication,D0U,"BARIUM SULFATE 2.1 % (W/V), 2.0 % (W/W) PO SUSP",5056,5.974397462829918
Medication,D0U,BARIUM SULFATE 60 % (W/V) PO SUSP,4448,5.974397462829918
Medication,D0U,BARIUM SULFATE 40 % (W/V) PO POWD,4340,5.974397462829918
Lab result,PT,Prothrombin Time,337139,5.144048768702676
Lab result,PT,"PT, ISTAT",53521,5.144048768702676
Lab result,PT,Prothrombin Time (Manual Entry) See EMR for details,14406,5.144048768702676
Lab result,PT,PT seconds,3497,5.144048768702676
Lab result,PT,PT (Manual),362,5.144048768702676
Lab result,SARSCOV2TYPE,SPECIMEN TYPE,343807,5.089951524570624
Pocedure,685,DIET CLEAR LIQUID,83711,4.870520245249891
Diagnosis,SYM010,Memory loss,16174,4.857893781804293
Diagnosis,SYM010,"Altered mental status, unspecified",16028,4.857893781804293
Diagnosis,SYM010,Altered mental status,14907,4.857893781804293
Diagnosis,SYM010,Other amnesia,14327,4.857893781804293
Diagnosis,SYM010,Other abnormalities of gait and mobility,12876,4.857893781804293
Pocedure,704,DIET NUTRITIONAL SUPPLEMENTS,47646,4.830562608405096
Diagnosis,SYM002,"Fever, unspecified",105783,4.826974919220511
Diagnosis,SYM002,"Fever, unspecified fever cause",28059,4.826974919220511
Diagnosis,SYM002,Fever,28036,4.826974919220511
Diagnosis,SYM002,Fever presenting with conditions classified elsewhere,13846,4.826974919220511
Diagnosis,SYM002,Acute febrile illness in child,3478,4.826974919220511
Medication,J2B,GLYCOPYRROLATE 0.2 MG/ML INJ SOLN,95531,4.746128609385658
Medication,J2B,GLYCOPYRROLATE 1 MG PO TABS,1743,4.746128609385658
Medication,J2B,CHLORDIAZEPOXIDE-CLIDINIUM 5-2.5 MG PO CAPS,299,4.746128609385658
Medication,J2B,GLYCOPYRROLATE 2 MG PO TABS,230,4.746128609385658
Medication,J2B,LIBRAX (WITH CLIDINIUM) 5-2.5 MG PO CAPS,193,4.746128609385658
Medication,C3B,FERROUS SULFATE 325 MG (65 MG IRON) PO TABS,50472,4.4973476749558055
Medication,C3B,IRON PO,18055,4.4973476749558055
Medication,C3B,IRON (FERROUS SULFATE) PO,7535,4.4973476749558055
Medication,C3B,FERROUS SULFATE 324 MG (65 MG IRON) PO TBEC,6267,4.4973476749558055
Medication,C3B,FERROUS SULFATE PO,3927,4.4973476749558055
Medication,D4N,SIMETHICONE 40 MG/0.6 ML PO DRPS,35538,4.4550075238576285
Medication,D4N,SIMETHICONE 80 MG PO CHEW,24677,4.4550075238576285
Medication,D4N,GAS-X PO,1078,4.4550075238576285
Medication,D4N,SIMETHICONE PO,441,4.4550075238576285
Medication,D4N,SIMETHICONE 125 MG PO CAPS,410,4.4550075238576285
Medication,H2Z,FLUMAZENIL 0.1 MG/ML IV SOLN,89553,4.446666129792446
Medication,H2Z,FLUMAZENIL IV,1,4.446666129792446
Medication,Q9B,TAMSULOSIN 0.4 MG PO CP24,36234,4.360894172341035
Medication,Q9B,TAMSULOSIN 0.4 MG PO CAPS,33918,4.360894172341035
Medication,Q9B,FINASTERIDE 5 MG PO TABS,21418,4.360894172341035
Medication,Q9B,FLOMAX 0.4 MG PO CP24,8656,4.360894172341035
Medication,Q9B,FLOMAX PO,3813,4.360894172341035
Medication,A4A,HYDRALAZINE 20 MG/ML INJ SOLN,99749,4.235028667217624
Medication,A4A,HYDRALAZINE 25 MG PO TABS,16048,4.235028667217624
Medication,A4A,HYDRALAZINE 10 MG PO TABS,10341,4.235028667217624
Medication,A4A,HYDRALAZINE 50 MG PO TABS,8724,4.235028667217624
Medication,A4A,HYDRALAZINE 20 MG/ML INJ SOLN (24 HOUR STOP TIME),4843,4.235028667217624
Medication,Z2P,PROMETHAZINE 25 MG/ML INJ SOLN,138980,4.147393454992713
Medication,Z2P,DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,105573,4.147393454992713
Medication,Z2P,DIPHENHYDRAMINE HCL 25 MG PO CAPS,89838,4.147393454992713
Medication,Z2P,HYDROXYZINE HCL 25 MG PO TABS,37836,4.147393454992713
Medication,Z2P,HYDROXYZINE HCL 50 MG/ML IM SOLN,23308,4.147393454992713
Pocedure,2220,TSH,430471,4.0851583865042365
Lab result,UCMT,Urine Comment,215378,4.048922739143588
Lab result,UCMT,Urine comment,176522,4.048922739143588
Medication,W1Q,CIPROFLOXACIN HCL 500 MG PO TABS,48509,3.880650807876415
Medication,W1Q,CIPROFLOXACIN 500 MG PO TABS,30962,3.880650807876415
Medication,W1Q,LEVOFLOXACIN 500 MG PO TABS,28370,3.880650807876415
Medication,W1Q,LEVOFLOXACIN 750 MG PO TABS,23663,3.880650807876415
Medication,W1Q,CIPROFLOXACIN IN D5W 400 MG/200 ML IV PGBK,12871,3.880650807876415
Medication,C1B,SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,211392,3.8613182003836535
Medication,C1B,SODIUM CHLORIDE 0.9 % IV SOLP,134406,3.8613182003836535
Medication,C1B,SODIUM CHLORIDE 0.9 % (FLUSH) INJ SYRG,49739,3.8613182003836535
Medication,C1B,SODIUM CHLORIDE 0.9 % INJ SYRG,16514,3.8613182003836535
Medication,C1B,SODIUM CHLORIDE 0.9 % INJ SOLN,13936,3.8613182003836535
Pocedure,464825,COMPREHENSIVE METABOLIC PANEL W GFR,226620,3.725651930039488
Pocedure,464825,LIPID PROFILE,163145,3.725651930039488
Pocedure,464825,TSH,159416,3.725651930039488
Pocedure,464825,CBC with Differential,119137,3.725651930039488
Pocedure,464825,BASIC METABOLIC PANEL W GFR,118526,3.725651930039488
Diagnosis,SKN005,"Contact dermatitis and other eczema, due to unspecified cause",34510,3.688230820740483
Diagnosis,SKN005,"Unspecified contact dermatitis, unspecified cause",5157,3.688230820740483
Diagnosis,SKN005,Other skin changes due to chronic exposure to nonionizing radiation,4476,3.688230820740483
Diagnosis,SKN005,Contact dermatitis,4303,3.688230820740483
Diagnosis,SKN005,"Contact dermatitis, unspecified contact dermatitis type, unspecified trigger",3637,3.688230820740483
Diagnosis,FAC021,Personal history of nicotine dependence,72828,3.685944338399306
Diagnosis,FAC021,Family history of ischemic heart disease and other diseases of the circulatory system,40831,3.685944338399306
Diagnosis,FAC021,"Personal history of tobacco use, presenting hazards to health",38991,3.685944338399306
Diagnosis,FAC021,Family history of malignant neoplasm of breast,33280,3.685944338399306
Diagnosis,FAC021,Personal history of colonic polyps,30779,3.685944338399306
Medication,Z2Q,LORATADINE 10 MG PO TABS,37560,3.6798413818226297
Medication,Z2Q,CETIRIZINE 10 MG PO TABS,26560,3.6798413818226297
Medication,Z2Q,ZYRTEC 10 MG PO TABS,20412,3.6798413818226297
Medication,Z2Q,CLARITIN PO,15566,3.6798413818226297
Medication,Z2Q,ZYRTEC PO,15482,3.6798413818226297
Medication,Q5F,KETOCONAZOLE 2 % TP CREA,18676,3.6490096260754257
Medication,Q5F,KETOCONAZOLE 2 % TP SHAM,16161,3.6490096260754257
Medication,Q5F,CLOTRIMAZOLE 1 % TP CREA,12803,3.6490096260754257
Medication,Q5F,"NYSTATIN 100,000 UNIT/GRAM TP POWD",10265,3.6490096260754257
Medication,Q5F,ECONAZOLE 1 % TP CREA,10216,3.6490096260754257
Pocedure,475,CBC WITH DIFFERENTIAL,732522,3.6296261268968952
Pocedure,475,CBC WITH DIFF,381186,3.6296261268968952
Diagnosis,SKN001,Cellulitis,12342,3.4643882667302384
Diagnosis,SKN001,"Local infection of the skin and subcutaneous tissue, unspecified",9178,3.4643882667302384
Diagnosis,SKN001,"Cellulitis, unspecified",7708,3.4643882667302384
Diagnosis,SKN001,Impetigo,7483,3.4643882667302384
Diagnosis,SKN001,"Cellulitis, unspecified cellulitis site",6505,3.4643882667302384
Medication,W1W,CEFAZOLIN 1 GRAM INJ SOLR,136498,3.413563308789401
Medication,W1W,CEPHALEXIN 500 MG PO CAPS,91544,3.413563308789401
Medication,W1W,CEFAZOLIN IN DEXTROSE (ISO-OS) 1 GRAM/50 ML IV PGBK,79918,3.413563308789401
Medication,W1W,CEFAZOLIN IN DEXTROSE (ISO-OS) 2 GRAM/100 ML IV PGBK,56755,3.413563308789401
Medication,W1W,CEFAZOLIN IV PUSH (1 GRAM VIAL ONLY),22796,3.413563308789401
Pocedure,880100004,SIMPLE AIRWAY,149218,3.3142976303923866
Pocedure,880100004,Simple Airway,57279,3.3142976303923866
Pocedure,880100004,x,1,3.3142976303923866
Pocedure,880100004,Simple airway,1,3.3142976303923866
Pocedure,880100004,Complex Airway,4,3.3142976303923866
Diagnosis,END003,Type 2 diabetes mellitus with hyperglycemia,24117,3.2050975393332157
Diagnosis,END003,Type 2 diabetes mellitus with diabetic chronic kidney disease,16238,3.2050975393332157
Diagnosis,END003,Type 2 diabetes mellitus with unspecified complications,14690,3.2050975393332157
Diagnosis,END003,Type 2 diabetes mellitus with other specified complication,9956,3.2050975393332157
Diagnosis,END003,Type 2 diabetes mellitus with diabetic nephropathy,6389,3.2050975393332157
Lab result,XUPROT,"Protein, urine",220884,3.151154442400012
Diagnosis,END002,Type 2 diabetes mellitus without complications,71005,2.970679901175976
Diagnosis,END002,"Type II or unspecified type diabetes mellitus without mention of complication, not stated as uncontrolled",50212,2.970679901175976
Diagnosis,END002,"Type 2 diabetes mellitus without complication, without long-term current use of insulin (CMS-HCC)",21953,2.970679901175976
Diagnosis,END002,Diabetes mellitus (CMS-HCC),17960,2.970679901175976
Diagnosis,END002,Type 2 diabetes mellitus without complication (CMS-HCC),14230,2.970679901175976
Diagnosis,END009,"Obesity, unspecified",80077,2.9307334328958032
Diagnosis,END009,Morbid (severe) obesity due to excess calories,28498,2.9307334328958032
Diagnosis,END009,Morbid obesity (CMS-HCC),25684,2.9307334328958032
Diagnosis,END009,Obesity,25169,2.9307334328958032
Diagnosis,END009,Obesity (BMI 30-39.9),11212,2.9307334328958032
Diagnosis,MBD013,Deferred diagnosis on axis I,19301,2.898910502229577
Diagnosis,MBD013,Other persistent mental disorders due to conditions classified elsewhere,2663,2.898910502229577
Diagnosis,MBD013,Unspecified nonpsychotic mental disorder,1380,2.898910502229577
Diagnosis,MBD013,Transsexualism,1165,2.898910502229577
Diagnosis,MBD013,Other mental disorders complicating the puerperium,1008,2.898910502229577
Lab result,PCCOM,POCT Comment,313589,2.841621236298057
Diagnosis,RSP007,Other specified disorders of nose and nasal sinuses,30461,2.826110068880993
Diagnosis,RSP007,Other diseases of nasal cavity and sinuses(478.19),27513,2.826110068880993
Diagnosis,RSP007,Deviated nasal septum,25587,2.826110068880993
Diagnosis,RSP007,Hypertrophy of nasal turbinates,18305,2.826110068880993
Diagnosis,RSP007,Chronic rhinitis,16384,2.826110068880993
Diagnosis,RSP002,"Pneumonia, organism unspecified(486)",26170,2.7597484762297024
Diagnosis,RSP002,"Pneumonia, unspecified organism",24545,2.7597484762297024
Diagnosis,RSP002,Pneumonia due to organism,9503,2.7597484762297024
Diagnosis,RSP002,Pneumonia,8150,2.7597484762297024
Diagnosis,RSP002,"Lobar pneumonia, unspecified organism",5214,2.7597484762297024
Pocedure,1717,PT EVALUATE AND TREAT,148648,2.757113740600301
Medication,H7E,TRAZODONE 50 MG PO TABS,64606,2.3301274436106403
Medication,H7E,TRAZODONE 100 MG PO TABS,11218,2.3301274436106403
Medication,H7E,TRAZODONE PO,5211,2.3301274436106403
Medication,H7E,TRAZODONE 150 MG PO TABS,2456,2.3301274436106403
Medication,H7E,TRAZODONE 300 MG PO TABS,307,2.3301274436106403
Pocedure,1423,OOB/UP IN CHAIR WITH ASSIST,59675,2.272081521223585
Lab result,XUCOL,"Color, urine",220889,2.158478516320618
Medication,P5A,DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJ SOLN,176739,2.154739877533957
Medication,P5A,PREDNISONE 20 MG PO TABS,59878,2.154739877533957
Medication,P5A,PREDNISONE 10 MG PO TABS,47737,2.154739877533957
Medication,P5A,METHYLPREDNISOLONE SOD SUC(PF) 125 MG/2 ML INJ SOLR,33330,2.154739877533957
Medication,P5A,DEXAMETHASONE 4 MG PO TABS,32883,2.154739877533957
Pocedure,100973,OXYGEN: NASAL CANNULA(NURSING ONLY),186937,2.0736803547409832
Lab result,XUPH,"pH, urine",220884,1.9529547906646056
Medication,D6D,LOPERAMIDE 2 MG PO CAPS,20419,1.747718735130277
Medication,D6D,DIPHENOXYLATE-ATROPINE 2.5-0.025 MG PO TABS,18317,1.747718735130277
Medication,D6D,LOPERAMIDE 2 MG PO TABS,3963,1.747718735130277
Medication,D6D,IMODIUM PO,1908,1.747718735130277
Medication,D6D,LOMOTIL 2.5-0.025 MG PO TABS,1456,1.747718735130277
Diagnosis,END001,"Hypothyroidism, unspecified",73510,1.7411293225067257
Diagnosis,END001,Hypothyroidism,48956,1.7411293225067257
Diagnosis,END001,Unspecified hypothyroidism,45904,1.7411293225067257
Diagnosis,END001,"Hypothyroidism, unspecified type",42272,1.7411293225067257
Diagnosis,END001,Nontoxic single thyroid nodule,18791,1.7411293225067257
Diagnosis,CIR008,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",23383,1.7257023536423293
