Type	Section	Name	Value	Name	Description	Comment
Reference	Pneumonia	BritishThoracic-Pneumonia	1	POC22	POC ISTAT, ARTERIAL BLOOD GASES (G3+)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABABG	BLOOD GASES, ARTERIAL	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	LABVBG	BLOOD GASES, VENOUS	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	POC16	POC ISTAT,VENOUS BLOOD GASES AND LACTATE (CG4)	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	NUR1044	NURSING PULSE OXIMETRY (SPOT CHECK)	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	NUR1043	NURSING PULSE OXIMETRY	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABCBCO	CBC	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABCBCD	CBC WITH DIFF	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	LABMETB	METABOLIC PANEL, BASIC	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABHFP	HEPATIC FUNCTION PANEL A	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABCRP	C - REACTIVE PROTEIN	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	NUR4067	OXYGEN ADMINISTRATION	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	NUR4030	OXYGEN: NASAL CANNULA(NURSING ONLY)	
Reference	Pneumonia	BritishThoracic-Pneumonia	1	RT84	RESP - OXYGEN ADMINISTRATION	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI5224	Heparin (Subcutaneous)	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RXCUI67108	Enoxaparin (Subcutaneous)	
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RT101	RESP - FLUTTER/PEP THERAPY	Need not be routine, but offer if difficulty expectorating
Reference	Pneumonia	BritishThoracic-Pneumonia	2	RT100	RESP - INTRAPULMONARY PERCUSSIVE VENTILATION	
Reference	Pneumonia	BritishThoracic-Pneumonia	3	RXCUI5492	Hydrocortisone (Intravenous)	Not routine
Reference	Pneumonia	BritishThoracic-Pneumonia	3	RXCUI68442	Filgrastim (Subcutaneous)	Not routine
Reference	Pneumonia	BritishThoracic-Pneumonia	2	CON310	CONSULT TO MEDICINE	Implied for admission
Recommendation	Pneumonia	BritishThoracic-Pneumonia	1	LABRESPG	RESPIRATORY CULTURE AND GRAM STAIN	Use if moderate severity disease and no prior antibiotics
Reference	Pneumonia	BritishThoracic-Pneumonia	1	LABRESPG	RESPIRATORY CULTURE AND GRAM STAIN	Use if moderate severity disease and no prior antibiotics
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	DIET102	DIET NPO	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	DIET101	DIET CLEAR LIQUID	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	NUR1539	NASOGASTRIC TUBE	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR2456	CHECK TUBE RESIDUAL	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR646	FREE WATER FOR TUBE FEEDING	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	MED530016	OCTREOTIDE 10 MCG/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI40790	Pantoprazole (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI8339	Piperacillin (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI37617	Tazobactam (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI20481	Cefepime (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	MED520103	CEFEPIME 1 GM IVPB	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI2551	Ciprofloxacin (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI6922	Metronidazole (Intravenous)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI221147	Polyethylene Glycol 3350 (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI36676	Sodium Bicarbonate (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI36721	Sodium Sulfate (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI9863	Sodium Chloride (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI8591	Potassium Chloride (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI236719	Sodium Phosphate, Dibasic (Rectal)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI235496	Sodium Phosphate, Monobasic (Rectal)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	RXCUI36709	Sodium Phosphate (Oral)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABCBCO	CBC	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABPT	PROTHROMBIN TIME	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABFIB	FIBRINOGEN	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABCAI	CALCIUM IONIZED, SERUM/PLASMA	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	LABTYPSNI	TYPE AND SCREEN	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	LABBBPRBC	RED BLOOD CELLS	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	LABBBPPLT	PLATELET APHERESIS PRODUCT	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	LABBBPCRY	CRYOPRECIPITATE	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR818	TRANSFUSE CRYO (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR819	TRANSFUSE FFP (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR820	TRANSFUSE PLT (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2.5	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	IMGNGIBLEED	NUC GI BLEED	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	IMGCT3A	CT ANGIO ABDOMEN	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	PT4	PT EVALUATE AND TREAT	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON302	CONSULT TO SOCIAL WORK	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON306	CONSULT TO DISCHARGE PLANNING	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON400	CONSULT TO GASTROENTEROLOGY	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON322	CONSULT TO GENERAL SURGERY	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON107	CONSULT TO IR - UNLISTED PROCEDURE	
OrderSet	GIBleed	Stanford-IPICUGIBleed	2	CON100	CONSULT TO NUTRITION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	1	DIET102	DIET NPO	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	NUR1539	NASOGASTRIC TUBE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR2456	CHECK TUBE RESIDUAL	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR646	FREE WATER FOR TUBE FEEDING	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	NUR1613	PERIPHERAL IV INSERTION CARE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	NUR1042	ORTHOSTATIC BLOOD PRESSURE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI9863	Sodium Chloride (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI8591	Potassium Chloride (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI4850	Glucose (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI7617	Octreotide (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	MED530016	OCTREOTIDE 10 MCG/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI40790	Pantoprazole (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI40790	Pantoprazole (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI4278	Famotidine (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI4278	Famotidine (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI11149	Vasopressin (Usp) (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	MED530031	VASOPRESSIN 1 UNIT/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI2551	Ciprofloxacin (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI723	Amoxicillin (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI21212	Clarithromycin (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI6922	Metronidazole (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	RXCUI19478	Bismuth Subsalicylate (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABCBCO	CBC	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABCBCD	CBC WITH DIFF	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABPT	PROTHROMBIN TIME	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABHCTX	HEMATOCRIT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABMETB	METABOLIC PANEL, BASIC	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABMETC	METABOLIC PANEL, COMPREHENSIVE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABHFP	HEPATIC FUNCTION PANEL A	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABRP	RENAL FUNCTION PANEL	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABEP1	ELECTROLYTE PANEL	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABHELI	HELICOBACTER PYLORI AB	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABHELAG	HELICOBACTER PYLORI AG, STOOL	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	LABTYPSNI	TYPE AND SCREEN	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	LABBBPRBC	RED BLOOD CELLS	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	LABBBPPLT	PLATELET APHERESIS PRODUCT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	LABBBPCRY	CRYOPRECIPITATE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR818	TRANSFUSE CRYO (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR819	TRANSFUSE FFP (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR820	TRANSFUSE PLT (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2.5	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	EKG5	ECG 12-LEAD	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON302	CONSULT TO SOCIAL WORK	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON306	CONSULT TO DISCHARGE PLANNING	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON400	CONSULT TO GASTROENTEROLOGY	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON322	CONSULT TO GENERAL SURGERY	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON105	CONSULT TO IR - TIPS	
OrderSet	GIBleed	Stanford-IPMEDGIBleedUpper	2	CON100	CONSULT TO NUTRITION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1006	AMBULATE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1208	BEDREST	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1214	BEDREST W/BEDSIDE COMMODE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1215	BEDREST W/BRP	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	DIET131	DIET NPO AFTER MIDNIGHT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	DIET102	DIET NPO	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	DIET101	DIET CLEAR LIQUID	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1613	PERIPHERAL IV INSERTION CARE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	NUR1373	FOLEY RETENTION CATHETER	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI9863	Sodium Chloride (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI8591	Potassium Chloride (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI4850	Glucose (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI40790	Pantoprazole (Intravenous)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	MED530014	PANTOPRAZOLE 0.8 MG/ML IV INFUSION	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI221147	Polyethylene Glycol 3350 (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI36676	Sodium Bicarbonate (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI36721	Sodium Sulfate (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI9863	Sodium Chloride (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI8591	Potassium Chloride (Oral)	GoLytely
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI236719	Sodium Phosphate, Dibasic (Rectal)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI235496	Sodium Phosphate, Monobasic (Rectal)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI36709	Sodium Phosphate (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI36387	Sennosides, Usp (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	RXCUI1596	Bisacodyl (Oral)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABCBCD	CBC WITH DIFF	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABPT	PROTHROMBIN TIME	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABPTT	PTT PARTIAL THROMBOPLASTIN TIME	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABHCTX	HEMATOCRIT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABHFP	HEPATIC FUNCTION PANEL A	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	LABTYPSNI	TYPE AND SCREEN	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	LABBBPRBC	RED BLOOD CELLS	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	LABBBPFFP	FRESH FROZEN PLASMA PRODUCT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	LABBBPPLT	PLATELET APHERESIS PRODUCT	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	LABBBPCRY	CRYOPRECIPITATE	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	NUR818	TRANSFUSE CRYO (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	NUR819	TRANSFUSE FFP (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	NUR820	TRANSFUSE PLT (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2.5	NUR821	TRANSFUSE RBC (DOES NOT ORDER PRODUCT)	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	EKG5	ECG 12-LEAD	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	CON400	CONSULT TO GASTROENTEROLOGY	
OrderSet	GIBleed	Stanford-IPMEDGIBleedLower	2	CON306	CONSULT TO DISCHARGE PLANNING	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR1026	VITAL SIGNS: CSU ROUTINE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1042	ORTHOSTATIC BLOOD PRESSURE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1043	NURSING PULSE OXIMETRY	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR350	NOTIFY MD:	Vital signs, several
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1006	AMBULATE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1208	BEDREST	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1214	BEDREST W/BEDSIDE COMMODE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1215	BEDREST W/BRP	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR2241	UP AD LIB	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1012	OOB/UP IN CHAIR	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR4031	KEEP HEAD OF BED ELEVATED	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	DIET990	DIET REGULAR	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	DIET102	DIET NPO	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	DIET132	DIET CARB CONTROL/LOW SODIUM/LOW CHOL/LOW SAT FAT	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	DIET107	DIET LOW SODIUM LOW CHOLESTEROL LOW SAT FAT	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR1231	CARDIAC MONITOR	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR1018	MONITOR INTAKE AND OUTPUT	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR1068	WEIGHT	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	NUR1613	PERIPHERAL IV INSERTION CARE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	NUR1373	FOLEY RETENTION CATHETER	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ISO11	CONTACT AND DROPLET ISOLATION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ISO10	CONTACT AND RESPIRATORY ISOLATION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ISO8	CONTACT ISOLATION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ISO9	DROPLET ISOLATION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ISO7	RESPIRATORY ISOLATION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI9863	Sodium Chloride (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI8591	Potassium Chloride (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI4850	Glucose (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI5224	Heparin (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	RXCUI1191	Aspirin (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI32968	Clopidogrel (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI4278	Famotidine (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI4278	Famotidine (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI40790	Pantoprazole (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI40790	Pantoprazole (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI1897	Calcium Carbonate (NG Tube)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI3827	Enalapril (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI29046	Lisinopril (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI1202	Atenolol (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI20352	Carvedilol (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI6918	Metoprolol (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI3443	Diltiazem (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI17767	Amlodipine (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI9997	Spironolactone (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI4603	Furosemide (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI4603	Furosemide (Intravenous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI5487	Hydrochlorothiazide (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI83367	Atorvastatin (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI36567	Simvastatin (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI6057	Isosorbide (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI6058	Isosorbide Dinitrate (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	RXCUI82003	Docusate (Oral)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	LABCBCD	CBC WITH DIFF	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	LABPT	PROTHROMBIN TIME	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	LABHFP	HEPATIC FUNCTION PANEL A	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	LABMETB	METABOLIC PANEL, BASIC	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	LABMGN	MAGNESIUM, SERUM/PLASMA	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	LABTNI	TROPONIN I	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	IMGDXCH2	XR CHEST 2V	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	IMGCT3T	CT ANGIO CHEST	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	1	EKG5	ECG 12-LEAD	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ECH15	ECHO - TRANSTHORACIC ECHO +DOPPLER	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	ECH30	ECHO - EXERCISE STRESS ECHO	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	CON100	CONSULT TO NUTRITION	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	CON306	CONSULT TO DISCHARGE PLANNING	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	CON302	CONSULT TO SOCIAL WORK	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	CON303	CONSULT TO CARDIOLOGY	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	COD1	DNR	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	COD7	DNR/C	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	COD5	DNR/DNE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	COD2	FULL CODE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2	COD3	PARTIAL CODE	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	20100003	HIGH RISK DVT/PE PROPHYLAXIS	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	20100004	HIGHEST RISK DVT/PE PROPHYLAXIS	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	20100002	MODERATE RISK DVT/PE PROPHYLAXIS	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	NUR301	SEQUENTIAL COMPRESSION DEVICE (SCD)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	RXCUI67108	Enoxaparin (Subcutaneous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	RXCUI5224	Heparin (Subcutaneous)	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	LABPLTS	PLATELET COUNT	
OrderSet	ChestPain	Stanford-IPCARChestPainLowRiskAdmit	2.5	NUR1060	EARLY AMBULATION	
