antibiotic_name,prescription_count
CEFIXIME 200 MG PO TABS,1
NIZORAL A-D 1 % TP SHAM,1
AMOXICILLIN 775 MG PO TM24,1
NAFTIFINE 1 % TP CREA,1
DORYX 200 MG PO TBEC,1
SECNIDAZOLE 2 GRAM PO GRDP,1
ERYTHROMYCIN 2 % TP LOTN,1
SOLOSEC 2 GRAM PO GRDP,1
LAMISIL 125 MG PO GRPK,1
IVERMECTIN 0.5 % TP LOTN,1
DIFLUCAN 10 MG/ML PO SUSR,1
VAGISTAT-1 6.5 % VAG OINT,1
DIFLUCAN 50 MG PO TABS,1
RIBASPHERE 200 MG PO TABS,1
CIPRO XR 1,1
000 MG PO TM24,1
LEVAQUIN 25 MG/ML IV SOLN,1
SOLODYN 105 MG PO TB24,1
NAFCILLIN 10 GRAM INJ SOLR,1
OXICONAZOLE 1 % TP CREA,1
MICONAZOLE NITRATE 200 MG- 2 % (9 GRAM) VAG KIT,1
CLINDACIN P 1 % TP SWAB,1
TYZEKA 600 MG PO TABS,1
MONISTAT 3 4 % (200 MG)- 2 % (9 GRAM) VAG CPFC,1
CEFPROZIL 250 MG/5 ML PO SUSR,1
INCIVEK 375 MG PO TABS,1
DOXYCYCLINE MONOHYDRATE 75 MG PO TABS,1
GYNE-LOTRIMIN 1 % VAG CREA,1
SOLODYN 65 MG PO TB24,1
ROCEPHIN 500 MG INJ SOLR,1
CECLOR 500 MG PO CAPS,1
CEFTIZOXIME 2 GRAM IV SOLR,1
MICONAZOLE NITRATE 1,1
TOBRAMYCIN-VANCOMYCIN 1.5-5 % OPHT DROP,1
CLINDAMAX 1 % TP LOTN,1
MINOCYCLINE 45 MG PO TB24,1
FUZEON 90 MG SC KIT,1
MENTAX 1 % TP CREA,1
CEFACLOR 250 MG/5 ML PO SUSR,1
,
,
CEFOXITIN 100 GRAM INJ SOLR,2
E.E.S. 200 200 MG/5 ML PO SUSR,2
CEFAZOLIN 20 GRAM INJ SOLR,2
MYCELEX 1 % TP CREA,2
CUBICIN RF 500 MG IV SOLR,2
MAXIPIME 2 GRAM IV PGBK,2
ENFUVIRTIDE 90 MG SC SOLR,2
ACTICLATE 150 MG PO TABS,2
RIBATAB DOSE PACK 400-400 MG (28)-MG (28) PO DSPK,2
PALIVIZUMAB 50 MG/0.5 ML IM SOLN,2
EVUSHELD (EUA) 150 MG/1.5 ML- 150 MG/1.5 ML IM SOLN,2
LINDANE 1 % TP LOTN,2
WAL-SPORIN 500-10,2
ISONIAZID 100 MG/ML INJ SOLN,2
DOXYCYCLINE HYCLATE 120 MG PO TBEC,2
FLAGYL 375 MG PO CAPS,2
SULFACETAMIDE SODIUM-SULFUR 10-5 % (W/W) TP CREA,2
TOLNAFTATE 1 % TP AERP,2
NYSTATIN 200,2
000 UNIT MM LOZG,2
CEFOTETAN IN DEXTROSE,2
PREZISTA 300 MG PO TABS,2
ERYTHROMYCIN 250 MG PO CPDR,2
CENTANY 2 % TP OINT,2
UTA (WITH PHENYL SALICYLATE) 120-0.12 MG PO CAPS,2
CEFUROXIME-DEXTROSE (ISO-OSM) 750 MG/50 ML IV PGBK,2
MERREM 500 MG IV SOLR,2
AMZEEQ 4 % TP FOAM,2
AUGMENTIN 400-57 MG PO CHEW,2
VFEND 200 MG/5 ML (40 MG/ML) PO SUSR,2
LUZU 1 % TP CREA,2
REYATAZ 100 MG PO CAPS,2
LOTRISONE 1-0.05 % TP LOTN,2
DARUNAVIR 75 MG PO TABS,2
CEFTAZIDIME 6 GRAM INJ SOLR,2
ETHIONAMIDE 250 MG PO TABS,2
CICLODAN 8 % TP SOLN,2
REMEDY PHYTOPLEX ANTIFUNGAL 2 % TP OINT,2
CEFOTAXIME 1 GRAM IV SOLR,2
3-DAY VAGINAL 2 % VAG CREA,2
DESENEX 2 % TP POWD,2
SAQUINAVIR MESYLATE 500 MG PO TABS,2
AVIDOXY 100 MG PO TABS,2
DYNACIN 100 MG PO TABS,2
DOXYCYCLINE HYCLATE 150 MG PO TABS,2
OFLOXACIN 0.3 % OTIC DPET,2
DECLOMYCIN 150 MG PO TABS,2
FIDAXOMICIN 40 MG/ML PO SUSR,2
TELITHROMYCIN 400 MG PO TABS,2
MONISTAT 1 (TIOCONAZOLE) 6.5 % VAG OINT,2
CEFOXITIN IN DEXTROSE 2.2 % 2 GRAM/50 ML IV PGBK,2
SOTROVIMAB 500 MG/8 ML (62.5 MG/ML) IV SOLN,2
MAXIPIME 1 GRAM INJ SOLR,2
CEFAZOLIN 1 GRAM IV PGBK,2
ANTIFUNGAL (TOLNAFTATE) 1 % TP POWD,2
EPIVIR HBV 25 MG/5 ML (5 MG/ML) PO SOLN,2
ZEASORB AF 2 % TP POWD,2
OXACILLIN 2 GRAM IV SOLR,2
DOXYCYCLINE HYCLATE 100 MG PO CPDR,2
NEOSPORIN-PAIN ITCH SCAR 3.5-500-10,2
MINOCYCLINE 90 MG PO TB24,2
DOXY-100 100 MG IV SOLR,2
EMTRIVA 10 MG/ML PO SOLN,2
GENTAMICIN 20 MG/2 ML INJ SOLN,2
TETRACYCLINE 125 MG/5 ML PO SUSP,2
GENTAMICIN 40 MG/ML INJ SYRG,2
BACITRACIN 500 UNIT/GRAM TP PACK,2
ZIDOVUDINE 10 MG/ML PO SYRP,2
UNASYN 3 GRAM IV SOLR,2
TRIPLE PASTE AF 2 % TP OINT,2
UNDECYLENIC ACID 25 % TP SOLN,2
VOCABRIA 30 MG PO TABS,2
CEFEPIME 2 GRAM IV PGBK,2
XOLEGEL 2 % TP GEL,2
PASER 4 GRAM PO GRPS,2
MINOCYCLINE 105 MG PO TB24,2
ATHLETE'S FOOT (TERBINAFINE) 1 % TP CREA,2
CEFTAZIDIME IN D5W 1 GRAM/50 ML IV PGBK,2
BAZA ANTIFUNGAL 2 % TP CREA,2
SOLODYN 115 MG PO TB24,2
THALOMID 150 MG PO CAPS,2
RIBAVIRIN 200 MG (7)- 400 MG (7) PO DSPK,2
TOBRAMYCIN SULFATE 80 MG IV SOLR,2
VIREAD 150 MG PO TABS,2
CLINDAMYCIN PHOSPHATE 900 MG/6 ML IV SOLN,2
NEOMYCIN-FLUOCINOLONE 0.5 % (0.35 % BASE)-0.025 % TP CREA,2
REBETOL 200 MG PO CAPS,2
BENZAMYCIN 3-5 % TP GEL,2
FEMSTAT 3 2 % VAG CREA,2
CLOTRIMAZOLE-7 1 % VAG CREA,2
CLOTRIMAZOLE FOOT 1 % TP CREA,2
DORIPENEM 500 MG IV SOLR,2
CRESEMBA 372 MG IV SOLR,2
OTOVEL 0.3-0.025 % (0.25 ML) OTIC SOLN,2
SULFACETAMIDE SODIUM-SULFUR 10-5 % TP LOTN,2
CLINDAMYCIN PHOSPHATE 2 % VAG CMSR,2
RIBASPHERE 200 MG PO CAPS,2
AUGMENTIN 125-31.25 MG PO CHEW,2
CEFTIN 125 MG/5 ML PO SUSR,1
DOXYCYCLINE HYCLATE 75 MG PO TABS,1
NYSTATIN 1 BILLION UNIT PO POWD,1
FUZEON 90 MG SC SOLR,1
CEFIXIME 200 MG PO TABS,1
MICONAZOLE NITRATE 200 MG- 2 % (9 GRAM) VAG KIT,1
PALIVIZUMAB 100 MG/ML IM SOLN,1
MICONAZOLE-7 100 MG VAG SUPP,1
SULFACETAMIDE SODIUM 10 % OPHT OINT,1
TINACTIN 1 % TP POWD,1
MICONAZOLE NITRATE 1,1
LAMISIL (AEROSOL) 1 % TP SPRA,1
LAMISIL 1 % TP SPRY,1
ROCEPHIN 250 MG INJ SOLR,1
VANCOMYCIN 100 GRAM INJ SOLR,1
MINOCYCLINE 45 MG PO TB24,1
MYCOSTATIN 500,1
ERY-TAB 500 MG PO TBEC,1
OFLOXACIN 200 MG PO TABS,1
AMINOSALICYLIC ACID 4 GRAM PO GRPS,1
AMOXICILLIN 200 MG PO TBDP,1
SOLODYN 65 MG PO TB24,1
RIBASPHERE 200 MG PO TABS,1
MINOCYCLINE 135 MG PO TB24,1
AMPICILLIN 125 MG/5 ML PO SUSR,1
ANTIFUNGAL 25 % TP SOLN,1
ANTIBIOTIC (BACITRACIN ZINC) 500 UNIT/GRAM TP OINT,1
MINOCYCLINE 115 MG PO TB24,1
CIPRO XR 1,1
TOBRAMYCIN-VANCOMYCIN 1.5-5 % OPHT DROP,1
NAFTIN 2 % TP CREA,1
ERYTHROMYCIN 2 % TP LOTN,1
ERYC 250 MG PO CPDR,1
LEVAQUIN 25 MG/ML IV SOLN,1
NAFCILLIN 10 GRAM INJ SOLR,1
SOLODYN 105 MG PO TB24,1
GYNE-LOTRIMIN 1 % VAG CREA,1
NAFTIFINE 1 % TP CREA,1
CLINDACIN P 1 % TP SWAB,1
DOXYCYCLINE MONOHYDRATE 75 MG PO TABS,1
CLINDAMYCIN PHOSPHATE 1 % TP GLQD,1
VAGISTAT-1 6.5 % VAG OINT,1
AMOXICILLIN 775 MG PO TM24,1
ATHLETE'S FOOT (CLOTRIMAZOLE) 1 % TP CREA,1
ROCEPHIN 2 GRAM IV SOLR,1
TYGACIL 50 MG IV SOLR,1
TEFLARO 400 MG IV SOLR,1
MINOCYCLINE 45 MG PO CP24,1
FUZEON 90 MG SC KIT,1
MENTAX 1 % TP CREA,1
CECLOR 500 MG PO CAPS,1
CEFTIZOXIME 2 GRAM IV SOLR,1
LAMISIL AT 1 % TP SPRY,1
GRISEOFULVIN ULTRAMICROSIZE 250 MG PO TABS,1
MINOCYCLINE 90 MG PO CP24,1
SOLOSEC 2 GRAM PO GRDP,1
IVERMECTIN 0.5 % TP LOTN,1
CEFOTAXIME 2 GRAM IV SOLR,1
LAMISIL 125 MG PO GRPK,1
DIFLUCAN 10 MG/ML PO SUSR,1
MALATHION 0.5 % TP LOTN,1
NYSTATIN 50 MILLION UNIT PO POWD,1
MONISTAT 3 4 % (200 MG)- 2 % (9 GRAM) VAG CPFC,1
CEFPROZIL 250 MG/5 ML PO SUSR,1
INCIVEK 375 MG PO TABS,1
TYZEKA 600 MG PO TABS,1
CEFUROXIME-DEXTROSE (ISO-OSM) 1.5 GRAM/50 ML IV PGBK,1
RALTEGRAVIR 100 MG PO PWPK,1
POSACONAZOLE 300 MG/16.7 ML IV SOLN,1
ROCEPHIN 1 GRAM IV SOLR,1
ACYCLOVIR 50 MG BUCCAL MABT,1
NEVIRAPINE 50 MG/5 ML PO SUSP,1
ROCEPHIN 500 MG INJ SOLR,1
CLINDAMAX 1 % TP LOTN,1
FLOXIN 0.3 % OTIC DROP,1
NIZORAL A-D 1 % TP SHAM,1
MICONAZOLE-3 PREFIL,1
CREAM,1
WIPE 4 % (200 MG)- 2 % (9 GRAM) VAG KIT,1
DORYX 200 MG PO TBEC,1
SECNIDAZOLE 2 GRAM PO GRDP,1
DIFLUCAN 50 MG PO TABS,1
OXICONAZOLE 1 % TP CREA,1
CEFACLOR 250 MG/5 ML PO SUSR,1
CEFUROXIME AXETIL 125 MG/5 ML PO SUSR,1
ROCEPHIN 2 GRAM INJ SOLR,1
ZALCITABINE 0.375 MG PO TABS,1
,
,
ERYC 250 MG PO CPDR,1
ROCEPHIN 1 GRAM IV SOLR,1
TYGACIL 50 MG IV SOLR,1
ROCEPHIN 2 GRAM IV SOLR,1
CEFPROZIL 250 MG/5 ML PO SUSR,1
INCIVEK 375 MG PO TABS,1
CEFTIN 125 MG/5 ML PO SUSR,1
DOXYCYCLINE HYCLATE 75 MG PO TABS,1
NYSTATIN 1 BILLION UNIT PO POWD,1
OXICONAZOLE 1 % TP CREA,1
MICONAZOLE NITRATE 1,1
ERYC 250 MG PO CPDR,1
ANTIBIOTIC (BACITRACIN ZINC) 500 UNIT/GRAM TP OINT,1
ANTIFUNGAL 25 % TP SOLN,1
MINOCYCLINE 115 MG PO TB24,1
SULFACETAMIDE SODIUM 10 % OPHT OINT,1
MICONAZOLE-7 100 MG VAG SUPP,1
PALIVIZUMAB 100 MG/ML IM SOLN,1
AMOXICILLIN 775 MG PO TM24,1
NAFTIFINE 1 % TP CREA,1
TOBRAMYCIN-VANCOMYCIN 1.5-5 % OPHT DROP,1
MINOCYCLINE 135 MG PO TB24,1
AMPICILLIN 125 MG/5 ML PO SUSR,1
ERYTHROMYCIN 2 % TP LOTN,1
