Rotation,Role,Provider_ID,Date,Chart_Review_Time,Note_Review_Time,Note_Entry_Time,Order_Entry_Time,Navigator_Time,Results_Review_Time,Total_Time,Number_EHR_Actions,Number_EHR_Actions_Accessed_Remotely,Number_Unique_Patient_Records_Accessed
Intensive Care Unit,PGY2+,S0169404,2015-09-10,2:42:19,0:10:30,0:13:11,0:36:23,0:26:37,0:29:23,5:00:33,2098,336,17
General Medicine,PGY2+,S0181077,2016-08-28,1:54:52,1:03:26,0:00:05,0:44:41,0:24:17,0:07:49,4:53:40,2474,110,17
General Medicine,PGY2+,S0181077,2016-08-29,0:12:46,0:18:13,0:00:09,0:00:52,0:03:11,0:00:25,0:42:09,544,490,17
Intensive Care Unit,PGY2+,S0169404,2015-09-19,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:01,22,0,4
Intensive Care Unit,PGY2+,S0169404,2015-09-18,3:25:36,0:18:04,0:17:34,0:37:48,0:24:36,0:40:08,6:02:59,3055,48,22
General Medicine,PGY1,S0169381,2014-09-10,3:06:07,0:19:36,0:28:18,0:29:52,0:27:43,0:21:53,5:31:23,1342,93,8
General Medicine,PGY1,S0169381,2014-09-11,2:30:20,0:04:44,0:24:30,0:27:57,0:14:32,0:33:51,4:39:42,1209,47,12
General Medicine,PGY1,S0169381,2014-09-12,1:38:54,0:05:44,0:15:55,0:29:19,0:09:02,0:18:20,3:14:52,980,266,13
General Medicine,PGY1,S0169381,2014-09-13,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,2,0,1
General Medicine,PGY1,S0195210,2016-11-01,0:12:44,0:04:44,0:00:00,0:00:06,0:00:00,0:01:05,0:19:19,108,0,6
General Medicine,PGY1,S0195210,2016-11-02,1:36:39,1:21:06,0:00:27,1:04:01,0:21:38,0:02:30,4:59:31,1397,3,19
General Medicine,PGY1,S0195210,2016-11-03,1:12:14,0:39:54,0:05:50,0:29:32,0:08:28,0:07:33,3:05:06,710,0,9
General Medicine,PGY1,S0195210,2016-11-04,0:29:24,0:21:01,0:00:04,0:06:13,0:01:27,0:00:03,1:19:34,367,0,7
General Medicine,PGY1,S0195210,2016-11-05,2:03:17,0:51:59,0:00:04,1:17:37,0:18:19,0:04:23,5:28:38,1426,0,13
General Medicine,PGY1,S0195210,2016-11-06,1:20:38,1:00:01,0:00:08,0:43:54,0:09:46,0:05:21,3:37:29,852,175,4
General Medicine,PGY1,S0195210,2016-11-07,1:44:37,0:55:32,0:00:24,0:46:26,0:14:48,0:07:07,4:13:58,1317,0,8
General Medicine,PGY1,S0195210,2016-11-08,0:05:56,0:00:27,0:00:00,0:00:00,0:00:00,0:00:12,0:07:16,25,0,4
General Medicine,PGY1,S0195210,2016-11-09,0:00:03,0:00:18,0:00:00,0:00:01,0:00:00,0:00:59,0:03:13,57,0,23
General Medicine,PGY1,S0079337,2014-12-25,3:53:38,0:09:02,2:07:33,1:01:39,0:19:53,0:07:04,8:27:45,2831,0,9
Night Team,PGY2+,S0169404,2016-11-10,2:09:53,0:50:44,0:00:04,0:30:53,0:09:13,0:07:20,4:08:01,1520,4,35
General Medicine,PGY1,S0093383,2014-09-13,0:23:00,0:00:00,0:01:05,0:00:00,0:00:14,0:00:03,0:26:39,282,278,18
Night Team,PGY2+,S0181069,2016-07-07,2:22:32,1:13:40,0:00:26,0:37:52,0:11:04,0:16:36,5:22:36,2354,0,36
General Medicine,PGY1,S0181078,2016-03-02,2:04:01,1:12:44,0:00:14,0:42:13,0:10:33,0:10:21,5:03:25,1616,202,13
General Medicine,PGY1,S0074196,2016-01-30,0:00:00,0:00:00,0:00:00,0:00:02,0:00:00,0:00:00,0:00:02,14,0,3
General Medicine,PGY1,S0181073,2016-06-08,1:34:07,1:29:08,0:01:01,0:42:14,0:17:43,0:01:56,4:35:40,1589,13,9
General Medicine,PGY1,S0174975,2016-03-17,2:24:43,1:26:28,0:00:11,0:37:32,0:28:53,0:00:10,5:31:50,1845,121,17
General Medicine,PGY1,S0174975,2016-03-16,0:03:29,0:03:23,0:00:00,0:01:33,0:00:09,0:00:00,0:13:58,174,174,11
General Medicine,PGY1,S0174975,2016-03-15,2:12:48,1:25:56,0:00:10,1:16:28,0:12:55,0:03:49,5:53:02,2000,171,9
General Medicine,PGY1,S0174975,2016-03-14,2:31:24,1:22:04,0:00:21,1:33:17,0:29:19,0:04:09,6:33:41,2284,144,18
General Medicine,PGY1,S0181078,2016-03-03,3:59:38,0:50:15,0:00:10,1:41:59,0:26:52,0:05:37,8:03:51,2345,53,15
General Medicine,PGY1,S0174975,2016-03-12,2:36:12,1:29:52,0:04:33,1:54:24,0:29:48,0:00:26,7:18:14,2640,7,14
General Medicine,PGY1,S0174975,2016-03-11,1:59:22,1:21:40,0:00:17,0:41:53,0:12:38,0:00:12,4:51:10,1603,57,18
General Medicine,PGY1,S0174975,2016-03-10,2:29:19,2:25:59,0:17:04,0:53:09,0:29:07,0:03:08,8:03:12,2889,387,42
General Medicine,PGY1,S0174975,2016-03-19,2:15:56,1:17:49,0:02:26,1:49:10,0:24:12,0:05:24,6:27:56,2254,76,17
General Medicine,PGY1,S0174975,2016-03-18,0:59:17,0:57:27,0:01:27,0:27:09,0:10:09,0:00:00,2:49:31,1179,170,12
Emergency Medicine,PGY1,S0181065,2015-12-30,1:04:24,0:11:21,2:00:36,0:23:54,0:27:44,0:12:45,4:49:17,3053,0,32
Emergency Medicine,PGY1,S0181065,2015-12-31,0:13:17,0:13:18,0:49:59,0:01:42,0:15:38,0:22:13,2:02:59,1392,0,11
Night Team,PGY1,S0172085,2016-02-05,1:51:59,0:37:34,0:12:37,0:53:58,0:21:27,0:56:58,5:20:24,1612,0,34
Night Team,PGY1,S0172085,2016-02-04,0:23:14,0:11:12,0:00:13,0:12:43,0:04:31,0:02:29,1:01:36,585,0,36
Night Team,PGY1,S0172085,2016-02-07,0:50:03,0:23:25,0:18:09,0:08:20,0:30:20,0:19:17,2:51:52,1163,55,72
Night Team,PGY1,S0172085,2016-02-06,1:15:56,1:07:45,1:12:18,0:32:45,0:21:42,0:38:46,5:31:47,1728,0,68
Night Team,PGY1,S0172085,2016-02-01,1:18:47,0:18:40,0:02:01,0:38:12,0:29:56,0:22:41,3:23:09,1185,820,37
General Medicine,PGY1,S0169394,2015-05-23,0:09:25,0:03:18,0:26:56,0:05:08,0:03:26,0:03:54,0:53:48,278,260,7
Night Team,PGY1,S0172085,2016-02-03,1:22:37,0:53:30,1:34:50,0:29:33,0:18:09,0:37:33,5:32:39,1946,1728,30
General Medicine,PGY1,S0169394,2015-05-21,2:01:09,0:10:04,0:59:47,0:25:51,0:16:18,0:20:19,4:27:58,1569,180,8
Night Team,PGY1,S0172085,2016-02-09,0:56:25,0:58:47,1:40:24,0:22:54,0:25:26,0:30:49,5:15:54,2039,854,63
Night Team,PGY1,S0172085,2016-02-08,1:38:29,0:49:19,0:13:14,0:14:40,0:20:35,0:24:17,3:57:59,2621,1311,40
Emergency Medicine,PGY2+,S0169400,2015-10-08,2:19:43,0:27:29,0:46:22,0:12:31,0:11:04,0:14:40,4:32:07,1250,14,23
Emergency Medicine,PGY2+,S0169400,2015-10-09,5:21:50,0:56:29,2:08:03,0:24:37,0:25:40,0:39:01,10:26:35,2917,0,49
Emergency Medicine,PGY2+,S0169400,2015-10-07,4:21:23,0:37:51,0:52:30,0:27:17,0:16:38,0:23:18,7:16:49,2358,13,49
Emergency Medicine,PGY2+,S0169400,2015-10-04,2:53:32,0:28:54,1:58:31,0:21:30,0:06:43,0:23:01,6:32:51,1565,0,17
Emergency Medicine,PGY2+,S0169400,2015-10-05,3:02:50,0:27:08,1:53:54,0:30:09,0:32:39,0:35:53,7:35:31,2474,0,28
Emergency Medicine,PGY2+,S0169400,2015-10-02,5:22:42,0:22:24,1:43:35,0:17:00,0:16:50,0:31:03,9:16:27,2778,0,36
Intensive Care Unit,PGY2+,S0094959,2015-08-23,0:00:00,0:59:00,0:00:00,0:00:00,0:00:00,0:02:32,1:02:43,293,293,26
Emergency Medicine,PGY2+,S0169400,2015-10-01,4:02:51,0:22:22,2:04:18,0:17:46,0:20:45,0:24:50,7:57:33,2345,0,32
General Medicine,PGY2+,S0172085,2016-09-28,3:33:25,1:37:00,0:00:00,0:17:11,0:10:28,0:06:57,6:34:51,2642,0,30
General Medicine,PGY2+,S0172085,2016-09-29,1:07:36,0:10:23,0:00:00,0:06:58,0:03:52,0:00:47,1:36:46,459,0,23
General Medicine,PGY2+,S0172085,2016-09-22,0:18:55,0:01:29,0:00:00,0:00:11,0:00:00,0:05:18,0:26:43,120,0,15
Night Team,PGY1,S0181074,2016-01-15,1:02:09,2:05:18,1:35:56,2:19:38,0:25:11,0:15:20,8:33:02,3532,94,38
General Medicine,PGY2+,S0172085,2016-09-20,3:18:31,2:03:57,0:00:00,0:26:37,0:11:44,0:01:34,6:32:43,2756,257,26
General Medicine,PGY2+,S0172085,2016-09-21,1:51:37,0:58:55,0:00:11,0:30:04,0:30:20,0:03:54,4:19:05,1637,0,19
General Medicine,PGY2+,S0172085,2016-09-26,1:12:42,0:50:17,0:00:26,0:25:33,0:09:39,0:02:27,3:10:38,1036,58,20
General Medicine,PGY2+,S0172085,2016-09-27,1:22:25,0:30:40,0:00:04,0:29:36,0:06:37,0:00:32,2:49:51,1317,8,21
General Medicine,PGY2+,S0172085,2016-09-24,0:54:18,0:35:04,0:00:03,0:02:02,0:03:22,0:05:58,1:55:59,825,36,22
Intensive Care Unit,PGY2+,S0094959,2015-08-24,2:32:19,1:45:54,0:11:10,0:10:22,0:27:20,0:32:04,5:54:15,2435,227,23
Night Team,PGY1,S0181074,2016-01-16,0:23:21,1:17:11,1:52:01,1:14:38,0:11:07,0:14:20,5:36:34,2035,163,22
General Medicine,PGY1,S0169402,2015-02-09,2:35:16,0:08:03,1:42:31,0:30:48,0:37:43,0:08:58,6:06:40,1499,357,9
General Medicine,PGY1,S0169402,2015-02-08,3:01:50,0:07:38,2:08:05,0:24:40,0:21:50,0:00:54,6:40:22,1598,0,11
General Medicine,PGY1,S0169402,2015-02-07,3:06:01,0:40:07,2:30:12,0:46:25,0:29:53,0:13:24,8:10:35,1999,0,11
General Medicine,PGY1,S0169402,2015-02-06,2:31:29,0:00:01,1:13:20,0:24:06,0:20:05,0:03:27,4:51:34,1394,449,9
General Medicine,PGY1,S0169402,2015-02-05,3:57:15,0:31:49,2:43:39,1:06:08,0:26:16,0:10:18,9:39:04,2224,30,10
General Medicine,PGY1,S0169402,2015-02-04,0:00:00,0:00:00,0:00:00,0:00:50,0:00:00,0:00:00,0:10:52,93,75,5
General Medicine,PGY1,S0169402,2015-02-03,3:34:01,0:01:28,2:18:31,1:02:45,0:29:57,0:08:44,8:25:43,2229,0,8
General Medicine,PGY1,S0169402,2015-02-02,3:10:50,0:14:46,2:59:45,0:43:10,0:26:34,0:10:01,8:34:20,1974,30,10
General Medicine,PGY1,S0169402,2015-02-01,1:51:59,0:00:00,1:01:21,0:30:10,0:21:34,0:00:07,3:58:48,1030,58,7
Night Team,PGY2+,S0169384,2016-01-21,1:16:11,1:46:30,3:10:35,1:08:57,0:29:34,0:57:22,9:09:23,2741,0,24
General Medicine,PGY1,S0181077,2016-04-28,3:13:32,1:33:04,0:00:16,0:46:43,0:14:11,0:06:15,6:48:00,2385,60,21
General Medicine,PGY1,S0181077,2016-04-29,0:12:33,0:08:37,0:00:02,0:04:07,0:01:01,0:00:00,0:28:46,181,159,8
General Medicine,PGY1,S0181077,2016-04-26,3:39:32,1:31:41,0:00:13,0:36:12,0:25:35,0:07:48,7:07:28,3220,111,23
General Medicine,PGY1,S0181077,2016-04-27,2:24:59,1:08:12,0:11:25,0:16:34,0:12:09,0:19:09,5:17:45,2361,53,13
General Medicine,PGY1,S0181077,2016-04-24,1:06:28,0:50:06,0:01:54,0:23:14,0:05:34,0:00:25,2:47:46,1382,242,12
General Medicine,PGY1,S0181077,2016-04-25,0:08:24,0:08:53,0:00:15,0:01:42,0:00:51,0:00:20,0:28:56,339,328,9
General Medicine,PGY1,S0181073,2016-06-09,3:13:57,1:45:00,0:00:11,1:17:42,0:37:03,0:05:43,7:42:27,2256,54,19
General Medicine,PGY1,S0172056,2016-04-25,1:33:59,0:48:29,0:00:03,0:31:06,0:23:22,0:03:40,4:07:13,1355,47,12
General Medicine,PGY1,S0172056,2016-04-24,1:44:02,1:10:06,0:00:06,0:25:04,0:15:53,0:02:49,4:06:41,1278,124,6
General Medicine,PGY1,S0172056,2016-04-27,2:30:49,1:12:34,0:02:02,0:54:23,0:19:07,0:10:52,6:38:31,1818,325,20
General Medicine,PGY1,S0172056,2016-04-26,2:25:26,0:37:49,0:00:04,1:13:15,0:21:30,0:03:40,5:28:37,2020,96,13
Night Team,PGY1,S0094535,2014-11-15,2:06:27,0:06:25,1:14:21,0:27:21,0:36:43,0:40:47,5:37:24,1348,0,30
Night Team,PGY1,S0094535,2014-11-14,1:57:41,0:11:09,0:04:48,0:21:00,0:40:20,0:32:08,4:17:19,1304,17,34
Night Team,PGY1,S0094535,2014-11-17,0:56:45,0:06:02,1:03:12,0:12:03,0:14:05,0:20:37,3:00:05,557,0,12
Night Team,PGY1,S0094535,2014-11-16,0:59:54,0:02:14,2:00:33,0:36:56,0:16:23,0:17:55,4:39:21,1008,0,23
Night Team,PGY1,S0094535,2014-11-11,2:11:35,0:05:21,1:10:41,0:31:02,0:35:41,0:16:49,5:11:48,1075,0,21
Night Team,PGY1,S0094535,2014-11-10,1:55:34,0:05:06,0:10:01,0:33:06,0:37:14,0:57:31,4:43:24,1046,8,30
Night Team,PGY1,S0094535,2014-11-13,0:46:28,0:01:44,0:02:55,0:24:32,0:29:39,0:22:20,2:16:18,594,0,23
Night Team,PGY1,S0094535,2014-11-12,0:00:00,0:00:00,0:00:00,0:00:15,0:00:00,0:00:00,0:00:15,10,0,2
Night Team,PGY2+,S0079337,2015-09-23,0:32:22,0:24:22,0:22:03,0:10:06,0:10:01,0:08:35,1:52:58,815,0,33
Night Team,PGY2+,S0079337,2015-09-22,2:04:03,0:42:52,1:15:19,0:34:21,0:15:04,0:14:49,5:28:37,1948,0,41
General Medicine,PGY2+,S0169404,2016-04-19,3:02:44,1:41:28,0:02:35,0:46:46,0:25:20,0:09:25,6:48:13,3764,589,20
General Medicine,PGY2+,S0169404,2016-04-18,1:16:00,0:46:54,0:00:00,0:23:46,0:08:04,0:08:42,3:03:28,1524,195,15
General Medicine,PGY2+,S0169404,2016-04-17,2:01:21,1:36:29,0:00:09,0:33:25,0:20:01,0:02:22,5:10:25,2460,687,15
General Medicine,PGY2+,S0169404,2016-04-16,1:39:02,1:03:06,0:00:34,0:19:58,0:15:48,0:00:45,3:44:56,2207,636,18
General Medicine,PGY2+,S0169404,2016-04-15,3:32:45,2:31:39,0:00:23,1:02:52,0:20:16,0:05:21,8:26:36,4673,455,21
General Medicine,PGY2+,S0169404,2016-04-14,2:49:07,1:43:33,0:00:08,0:52:21,0:18:28,0:09:03,6:27:03,3642,705,30
General Medicine,PGY2+,S0169404,2016-04-13,3:51:59,2:27:09,0:00:15,1:28:35,0:28:47,0:06:10,9:06:45,5030,589,27
General Medicine,PGY2+,S0169404,2016-04-12,0:45:41,0:42:28,0:00:03,0:04:34,0:00:35,0:00:53,1:45:53,852,846,20
General Medicine,PGY2+,S0169404,2016-04-11,2:00:06,1:09:13,0:00:12,0:19:45,0:20:40,0:00:38,4:20:19,2400,315,16
General Medicine,PGY2+,S0169404,2016-04-10,3:09:22,2:21:02,0:01:26,0:30:31,0:20:29,0:17:35,7:23:39,3632,576,22
Emergency Medicine,PGY2+,S0169385,2016-11-08,2:07:29,0:25:43,0:00:24,0:07:09,0:06:15,0:01:00,3:11:09,1119,0,23
Emergency Medicine,PGY2+,S0169385,2016-11-09,0:43:30,0:08:38,0:00:00,0:00:35,0:03:24,0:00:10,0:59:16,265,0,17
General Medicine,PGY2+,S0169411,2016-03-18,1:27:24,0:26:14,0:00:00,0:05:18,0:04:30,0:02:31,2:17:20,982,170,18
General Medicine,PGY2+,S0169411,2016-03-19,2:31:53,1:09:10,0:00:07,0:53:34,0:25:45,0:04:43,5:33:20,1995,0,14
General Medicine,PGY2+,S0169411,2016-03-14,3:19:59,0:36:35,0:06:13,0:17:49,0:11:33,0:03:18,5:12:54,1695,0,20
Night Team,PGY2+,S0169402,2016-03-25,1:11:35,0:44:52,0:02:38,0:22:22,0:05:54,0:00:58,2:46:15,1230,27,40
General Medicine,PGY2+,S0169411,2016-03-16,2:07:37,0:13:09,0:00:00,0:15:43,0:09:45,0:00:46,3:12:43,1328,0,14
General Medicine,PGY2+,S0169411,2016-03-17,0:05:47,0:08:11,0:00:00,0:00:00,0:00:00,0:00:00,0:15:54,182,166,11
General Medicine,PGY2+,S0169411,2016-03-10,4:14:46,0:59:11,0:00:02,0:26:10,0:11:04,0:11:48,6:30:42,2026,0,32
General Medicine,PGY2+,S0169411,2016-03-11,2:44:33,0:26:39,0:00:47,0:23:21,0:11:50,0:02:15,4:23:12,1588,0,21
Emergency Medicine,PGY2+,S0169385,2016-11-06,1:42:37,0:38:33,0:03:01,0:34:44,0:32:16,0:01:51,4:15:30,1745,0,31
General Medicine,PGY2+,S0169411,2016-03-13,3:24:07,0:58:14,0:00:01,0:16:16,0:07:32,0:04:14,5:28:25,1985,0,41
Night Team,PGY2+,S0079337,2015-09-28,1:17:19,0:38:56,0:15:05,0:25:06,0:07:12,0:03:43,2:56:04,1182,0,33
Night Team,PGY2+,S0169402,2016-03-29,2:27:43,1:22:18,0:00:06,0:27:42,0:07:11,0:07:51,4:54:57,1737,27,47
General Medicine,PGY1,S0172056,2015-08-31,2:32:19,0:35:04,2:51:32,0:48:33,0:30:06,0:24:02,8:18:24,1975,107,15
General Medicine,PGY1,S0172056,2015-08-30,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,2,0,1
Night Team,PGY2+,S0169402,2016-03-28,3:23:52,1:13:38,0:00:08,0:47:07,0:11:04,0:08:40,6:25:41,1939,169,56
Night Team,PGY1,S0181057,2015-11-18,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,2,0,1
Night Team,PGY1,S0181057,2015-11-19,0:47:54,0:13:24,0:00:28,0:10:06,0:19:50,0:23:41,2:00:54,539,0,16
Night Team,PGY1,S0181057,2015-11-10,1:15:20,0:56:44,1:01:55,1:04:46,0:20:08,0:24:51,5:21:23,1557,0,20
Night Team,PGY1,S0181057,2015-11-11,1:58:35,0:44:38,0:46:13,1:06:26,0:45:54,1:19:36,6:54:37,1841,0,36
Night Team,PGY1,S0181057,2015-11-12,1:41:17,1:02:12,1:40:58,0:46:58,0:22:35,1:02:51,6:46:23,1552,0,24
Night Team,PGY1,S0181057,2015-11-13,1:23:31,0:59:31,0:52:18,0:30:22,0:20:20,0:20:00,4:41:36,1176,0,28
Night Team,PGY1,S0181057,2015-11-14,1:21:56,0:28:11,0:54:04,0:49:43,0:33:35,0:36:50,4:49:51,1202,0,28
Night Team,PGY1,S0181057,2015-11-15,0:50:42,0:18:13,0:00:22,0:18:44,0:07:59,0:34:01,2:15:48,726,0,19
Night Team,PGY1,S0181057,2015-11-16,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,2,0,1
Night Team,PGY1,S0181057,2015-11-17,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,2,0,1
General Medicine,PGY2+,S0169411,2016-03-30,5:17:00,1:46:06,0:00:02,0:39:55,0:31:28,0:09:50,9:15:37,3337,0,29
General Medicine,PGY1,S0094535,2015-05-08,1:44:12,0:34:00,1:21:48,0:41:10,0:13:28,0:40:36,5:31:51,1225,0,10
General Medicine,PGY1,S0094535,2015-05-09,1:26:02,0:07:49,2:40:51,0:13:10,0:09:46,0:11:48,4:53:45,860,0,6
General Medicine,PGY1,S0094535,2015-05-02,1:48:33,0:02:51,0:48:13,0:33:02,0:15:35,0:17:59,4:07:42,1158,0,5
General Medicine,PGY1,S0094535,2015-05-03,3:00:57,0:38:57,2:40:04,0:51:16,0:30:24,0:40:31,9:00:05,2176,17,15
General Medicine,PGY1,S0094535,2015-05-01,2:19:55,0:16:56,1:59:15,0:32:53,0:19:02,0:23:54,6:13:22,1403,0,6
General Medicine,PGY1,S0094535,2015-05-06,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,6,0,3
General Medicine,PGY1,S0094535,2015-05-07,1:25:43,0:07:14,0:59:12,0:29:57,0:12:20,0:13:03,3:54:54,1122,0,16
General Medicine,PGY1,S0094535,2015-05-04,2:23:22,0:28:47,2:55:31,0:55:50,0:25:31,1:01:17,8:59:06,2546,0,16
General Medicine,PGY1,S0094535,2015-05-05,3:46:48,0:31:55,2:06:35,0:56:11,0:39:46,0:40:05,9:05:00,2383,0,32
Intensive Care Unit,PGY2+,S0181073,2016-10-30,2:48:56,0:26:10,0:10:32,0:41:57,0:26:21,0:03:18,5:04:24,1693,0,21
Intensive Care Unit,PGY2+,S0181073,2016-10-31,0:13:52,0:02:18,0:00:00,0:02:47,0:00:00,0:00:12,0:19:41,103,0,11
Emergency Medicine,PGY1,S0109179,2015-01-30,6:06:48,0:40:39,1:07:36,0:23:17,0:30:11,0:27:03,9:29:21,3149,0,60
Emergency Medicine,PGY1,S0169399,2015-05-09,2:23:31,0:17:40,5:28:02,0:23:33,0:22:04,0:09:35,9:33:55,1297,0,19
Emergency Medicine,PGY1,S0169399,2015-05-08,1:37:38,0:18:16,1:57:42,0:21:58,0:11:49,0:09:31,5:16:09,1013,0,16
Emergency Medicine,PGY1,S0169399,2015-05-03,3:09:51,0:15:05,5:24:59,0:19:13,0:25:12,0:05:48,10:02:59,1257,0,21
Emergency Medicine,PGY1,S0169399,2015-05-02,3:57:39,0:26:56,3:50:00,0:29:06,0:14:34,0:24:27,9:40:22,1292,0,25
Emergency Medicine,PGY1,S0169399,2015-05-01,2:50:36,0:37:24,5:20:29,0:16:59,0:13:17,0:14:04,10:01:06,1527,0,13
Emergency Medicine,PGY1,S0169401,2014-09-01,7:38:54,0:12:20,0:30:02,0:35:17,0:33:16,0:05:48,10:55:34,3152,165,58
Emergency Medicine,PGY1,S0169401,2014-09-06,5:13:22,0:03:03,0:03:32,0:06:19,0:05:28,0:04:05,5:56:56,1559,23,28
Emergency Medicine,PGY1,S0169401,2014-09-07,6:40:26,0:26:23,0:24:15,0:30:51,0:33:24,0:03:16,9:42:44,2800,246,66
Emergency Medicine,PGY1,S0169399,2015-05-05,0:13:36,0:06:33,0:03:36,0:02:48,0:01:17,0:00:00,0:34:26,230,44,4
Emergency Medicine,PGY1,S0169401,2014-09-05,0:28:17,0:00:57,0:00:02,0:00:21,0:00:25,0:00:27,0:32:25,352,348,21
General Medicine,PGY1,S0169389,2014-07-30,4:36:30,0:12:12,0:11:09,0:46:15,0:37:38,0:16:34,7:04:27,2177,0,34
General Medicine,PGY1,S0169389,2014-07-31,0:21:41,0:00:00,0:00:00,0:00:00,0:00:39,0:00:00,0:22:30,118,110,21
Night Team,PGY2+,S0106952,2016-07-24,1:37:47,1:23:44,0:00:06,0:05:57,0:16:39,0:06:03,3:53:09,1806,73,83
General Medicine,PGY1,S0181082,2015-12-10,1:15:22,1:18:23,1:48:14,1:09:40,0:35:22,0:32:11,7:09:10,2414,0,23
Emergency Medicine,PGY2+,S0109179,2015-10-21,5:00:08,0:36:35,0:54:24,0:20:09,0:20:39,0:25:34,7:59:18,2598,0,66
Emergency Medicine,PGY2+,S0109179,2015-10-20,4:23:50,1:07:58,0:55:43,0:25:21,0:26:44,0:51:21,8:37:14,2428,0,58
Night Team,PGY1,S0181526,2016-06-21,2:12:16,0:32:44,0:00:00,0:11:46,0:15:07,0:01:30,3:39:51,1143,12,42
Night Team,PGY1,S0181526,2016-06-20,3:20:41,0:46:41,0:00:01,0:45:17,0:32:06,0:16:56,6:16:45,1879,20,52
Night Team,PGY1,S0181526,2016-06-23,2:46:09,1:22:24,0:00:01,0:10:09,0:22:24,0:03:35,5:12:06,1858,9,54
Night Team,PGY1,S0181526,2016-06-22,1:42:35,0:24:39,0:01:23,0:14:13,0:06:48,0:01:59,2:45:11,907,34,28
Night Team,PGY1,S0181526,2016-06-25,3:15:50,0:34:32,0:00:00,0:17:32,0:10:53,0:06:10,5:02:48,1268,251,37
General Medicine,PGY1,S0195226,2016-08-20,0:00:37,0:03:08,0:00:00,0:00:00,0:00:00,0:00:00,0:04:00,39,39,3
Emergency Medicine,PGY1,S0079640,2016-09-30,0:11:32,0:00:21,0:00:00,0:00:00,0:00:00,0:00:00,0:11:58,35,0,4
Intensive Care Unit,PGY2+,S0181061,2016-08-31,2:29:18,0:22:32,0:13:16,0:41:21,0:24:04,0:01:42,4:39:41,1257,0,12
Intensive Care Unit,PGY2+,S0169383,2015-11-14,0:00:00,0:00:00,0:00:00,0:01:11,0:00:00,0:00:00,0:01:11,34,0,7
Intensive Care Unit,PGY2+,S0169383,2015-11-12,2:04:51,1:32:06,0:12:10,0:38:58,0:38:07,0:33:05,6:07:23,1787,0,17
Intensive Care Unit,PGY2+,S0169383,2015-11-13,1:46:04,0:35:23,0:04:34,0:14:23,0:34:09,0:30:04,4:08:23,1245,24,17
Intensive Care Unit,PGY2+,S0169383,2015-11-10,1:29:48,0:30:12,0:11:46,0:35:50,0:38:05,0:21:38,4:06:00,1240,15,18
Intensive Care Unit,PGY2+,S0169383,2015-11-11,1:17:06,1:09:21,0:02:04,0:19:12,0:33:37,0:30:13,4:06:41,1439,33,17
Intensive Care Unit,PGY2+,S0181064,2016-10-16,2:07:30,0:34:30,0:04:55,0:18:58,0:15:49,0:06:37,3:52:36,1011,264,20
Intensive Care Unit,PGY2+,S0181064,2016-10-17,0:04:34,0:04:34,0:00:00,0:00:16,0:00:00,0:00:01,0:09:43,137,115,10
Intensive Care Unit,PGY2+,S0181064,2016-10-14,2:38:56,1:10:34,0:00:49,0:47:45,0:26:48,0:09:19,6:06:51,1913,237,29
Intensive Care Unit,PGY2+,S0181064,2016-10-15,1:17:30,0:22:29,0:05:16,0:05:18,0:09:02,0:06:34,2:25:30,1147,301,26
Intensive Care Unit,PGY2+,S0181064,2016-10-12,2:06:55,0:38:57,0:05:25,0:15:19,0:26:13,0:03:42,4:00:36,1124,0,13
Night Team,PGY2+,S0079337,2015-11-30,2:54:39,0:38:53,0:39:26,0:21:17,0:06:07,0:11:54,4:57:13,1449,13,23
Emergency Medicine,PGY1,S0169402,2014-06-26,2:13:16,0:08:10,0:28:25,0:01:54,0:13:13,0:13:39,3:34:53,735,0,10
Emergency Medicine,PGY1,S0169402,2014-06-27,0:46:46,0:02:27,0:13:10,0:01:56,0:07:09,0:12:12,1:28:48,340,116,6
Emergency Medicine,PGY1,S0169402,2014-06-28,0:16:32,0:00:00,0:06:59,0:00:00,0:00:03,0:00:00,0:24:13,148,148,30
Emergency Medicine,PGY1,S0169402,2014-06-29,4:04:33,0:15:30,0:48:18,0:11:52,0:28:28,0:30:19,6:44:07,1702,0,13
Intensive Care Unit,PGY2+,S0181064,2016-10-18,2:57:36,1:37:38,0:00:09,0:30:55,0:35:42,0:11:24,6:24:33,2257,0,24
Intensive Care Unit,PGY2+,S0181064,2016-10-19,2:15:15,0:30:40,0:03:27,0:31:03,0:11:47,0:26:07,4:21:43,2057,369,29
Intensive Care Unit,PGY2+,S0169395,2015-11-09,1:35:36,0:29:44,0:19:00,0:25:05,0:16:59,0:48:45,4:05:54,1211,187,12
General Medicine,PGY2+,S0093383,2016-11-09,0:37:20,0:32:40,0:00:10,0:16:09,0:09:11,0:00:21,1:53:41,937,75,6
