,group_lab_name
"Unlisted Lab: Autoimmune encephalopathy panel, send to Mayo",8
Unlisted Genetic Test: Send out to prevention genetics to eval for myopathy,8
Unlisted Genetic Test: Neonatal and Adult Cholestasis: Sequencing Panel,8
Unlisted Lab: INVITAE PR08100.01 Immunodeficiency Panel and PR04101.05 Primary Ciliary Dyskinesia Panel. Both requiring 3mL blood in purple top tube.,8
Unlisted Lab: Invitae panel IBD,8
Unlisted Lab: Invitae Comprehensive Cardiomyopathy Panel,8
Unlisted Lab: Leflunomide level to be sent to Mayo lab,8
Unlisted Lab: invitae congenital heart disease panel,8
Unlisted Lab: Felbamate level,8
Unlisted Lab: Metabolomics (plasma) send out to Baylor,8
Unlisted Genetic Test: NUDT/CEP/TPMT Panel,8
Unlisted Lab: NC06 SUCCINYLADENOSINE,8
Unlisted Genetic Test: PGxome Custom Panel with reflex to TRIO PGxome.,8
Unlisted Lab: Send Candida PCR to Quest,8
Unlisted Genetic Test: Phenylbutyrate metabolite urine to be sent to Baylor Genetics,8
Unlisted Lab: MNG CSF Neurotransmitter - MET11,8
Unlisted Lab: ZnT8 insulin ab’s,8
Unlisted Genetic Test: Epilepsy panel to Invitae,8
"Unlisted Lab: send out to Invitae - Epilepsy Panel, test code 03401",8
Unlisted Lab: znt8 antibody,8
Unlisted Genetic Test: CFH Autoantibody for aHUS,8
Unlisted Genetic Test: CFH Autoantibody testing for aHUS,8
Unlisted Genetic Test: Trio Whole Exome Sequencing plus comprehensive mtDNA Analysis (send out to Baylor with paper requisition forms),8
Unlisted Genetic Test: Trio Whole Exome Sequencing plus comprehensive mtDNA analysis- send out to Baylor,8
"Unlisted Lab: random urine sample, order code YDROTC; lab 679- send out to mayo",8
Unlisted Lab: MOG antibody; test ID MOGFS from mayo,8
Unlisted Lab: 2 mL in EDTA (Purple top) Tube. Send to Clinical Lab with PAPER REQUISITION FORM for Clonoseq,8
Unlisted Genetic Test: Machaon Diagnostics aHUS panel,8
Unlisted Lab: Complex C5b-9,8
"Unlisted Lab: Cocci antigen, please send to mira vista",8
Unlisted Genetic Test: Invitae Primary Immunodeficiency Panel,8
"Unlisted Lab: Ecluzimab pharmacokinetic panel (ecluzimab level, CH50, and sC5b-9/sMAC).",8
"Unlisted Lab: toxocara IgG, IgM",8
"Unlisted Lab: Toxoplasmosis IgG- please sent to PAMF, do not do in house test",8
Unlisted Lab: Lymphocyte Proliferation to Mitogens (sendout to Mayo),8
"Unlisted Lab: ALPHA AMINOADIPIC SEMIALDEHYDE (CSF), SEND OUT TO MNG LABS, TEST CODE NC08",8
Unlisted Lab: Anti-MOG antibody (Myelin oligodendrocyte glycoprotein),8
Unlisted Lab: duodenal biopsy for disaccharides,8
"Unlisted Lab: Encephalopathy, Autoimmune Evaluation, Test ID: ENC1",8
Unlisted Lab: GM1B ganglioside antibody panel serum to Mayo,8
Unlisted Lab: Bile acid synthesis disorders by mass spectrometry. Sendout to Cincinnati. 0.5-1 mL of blood. Shipping requirements: Frozen (on dry ice). Overnight Express.,8
Unlisted Lab: MNG CSF Neurotransmitter - MET07,8
Unlisted Lab: MNG CSF Neurotransmitter - NC02,8
Unlisted Lab: Tacrolimus by Mass spectrometry (to be sent to ARUP),8
Unlisted Lab: toxocara antibody IgG,8
Unlisted Lab: Vedolizumab Antibody. Requires 2 Gold Tops. Spin Down But Strictly Do Not Aliquot,8
Unlisted Lab: listeria antibody to Quest. 3ml red or gold top,8
"Unlisted Lab: Serum autoimmune encephalitis panel, send out to Mayo, test code ENS1",8
Unlisted Lab: Autoimmune encephalitis panel to Mayo,8
"Unlisted Lab: CSF thyroid peroxidase antibody, ARUP code 0050075",8
Unlisted Lab: Anti-zinc transporter 8 (ZNT8),8
Unlisted Genetic Test: Telomere length for dyskeratosis congenita.,8
"Unlisted Lab: Aspergillus PCR, Quest EDTA lavender top 3ml of whole blood, test code 18873",8
Unlisted Genetic Test: Russell-Silver syndrome Methylation-Specific (MLPA),8
Unlisted Lab: anti-vedolizumab antibiody,8
Unlisted Lab: NC08 ALPHA AMINOADIPIC,8
"Unlisted Lab: ZnT8 antibody, Gold Tube",8
Unlisted Lab: Mayo Autoimmune encephalitis panel Test ID: ENC1,8
Unlisted Lab: Anti liver cytosol Ab,8
Unlisted Lab: Chlamydia psittaci IgG Ab,8
Unlisted Genetic Test: Machoan Diagnostics aHUS genetic panel.,8
Unlisted Lab: TH17 enumeration 2-3 ml sodium heparin tube,8
Unlisted Genetic Test: Biotin-Thiamine -Responsive Basal Ganglia Disease vis the SLC19A3 gene,8
Unlisted Genetic Test: Early Onset Inflammatory Bowel Disease: Sequencing Panel to Emory Genetic Labs,8
Unlisted Lab: Invitae combined cardiomyopathy and arrhythmia panel (saliva sample included with kit),8
Unlisted Lab: plasma D-lactate mayo code DLAC,8
Rickettsia AB Pnl w/Reflex Titer,8
Unlisted Genetic Test: Invitae Lab - Arrhythmia and cardiomyopathy comprehensive panel.,8
Unlisted Genetic Test: Emory cholestasis panel,8
Unlisted Lab: S-100B Protein,8
Unlisted Genetic Test: send out test to Baylor,8
Unlisted Lab: serum oxalate level,8
"Unlisted Lab: cocci urine ag, miravista",8
Unlisted Lab: cocci serum ag,8
"Unlisted Lab: Ribosome P Ab, IGG",8
Unlisted Lab: send out to Mayo test code ENC1,8
Hgb Quant/Fract HPLC,8
Unlisted Lab: karius metagenomics - Collect 5 mL of whole blood in a BD Vacutainer Plasma Preparation Tube,8
Unlisted Genetic Test: Prevention Genetics Gitelman Syndrome via SLC12A3 Gene Sequencing with CNV Detection,8
Unlisted Genetic Test: 2-4ml in EDTA for NUD/CEP/TMPT genotyping,8
Unlisted Lab: JC virus PCR from urine,8
Unlisted Lab: Zinc Transportase 8 Antibody,8
Unlisted Lab: Invitae Hereditary HLH Disorder Panel,8
Unlisted Lab: Neuronal Antibody,8
"Unlisted Lab: Anti-MOG: Mayo Clnical Labratories Test ID: CDS1 CNS demyelinating disease evalutation, serum",8
"Unlisted Lab: send out to MNG lab - NC01, NC04, NC05, NC06, NC07, NC08",8
Unlisted Genetic Test: Baylor Genetics Laboratory - Trio Whole Exome Sequencing + mtDNA,8
Unlisted Lab: sendout to MNG labs - SIALIC ACID CSF (NC07),8
Unlisted Lab: Cincinnati Children's Hemophagocytic Lymphohistocytosis (HLH) Panel,8
Unlisted Lab: MTHFR,8
Unlisted Lab: FoundationOne Heme,8
Unlisted Genetic Test: NUD/CEP/TPMT Panel to Medical College of Wisconsin,8
Unlisted Lab: Quest Diagnostic: Milk Precipitant Panel Test Code 15337,8
Unlisted Lab: Liver cytosol Auto-Ab-1. Reference lab code: 10527.,8
Unlisted Lab: Clobazam metabolite,8
Unlisted Lab: Invitae Arrhythmia and Cardiomyopathy Comprehensive Panel Plus CHD Panel,8
Unlisted Lab: CSF folate metabolites,8
"Unlisted Lab: Autoantibody to C1q (C1q-CLR) sent to Advanced Diagnostic Laboratories National Jewish Health, Complement Laboratory. Test code: C1QAB",8
"Unlisted Lab: C1q level by RID sent to Advanced Diagnostic Laboratories National Jewish Health, Complement Laboratory. Test code: C1Q",8
Fibrospect for Liverfibrosis,8
Unlisted Lab: Invitae Congenital Heart Defects and Heterotaxy Panel + Invitae Arrhythmia and Cardiomyopathy Comprehensive Panel,8
Unlisted Lab: SENDOUT: Mayo Clinic autoimmune encephalitis panel (mayo code ENS1),8
Hold Clot,8
Transfusion Svc Prod 13,8
Unlisted Lab: Mayo Clinic sendout lab: autoimmune encephalitis panel (Mayo Code ENC1),8
Unlisted Lab: Emory cholestasis panel send out - EDTA purple top 5 mL,8
"Unlisted Lab: Soluble CD 163, 1-2 ml EDTA",8
Unlisted Lab: send out to Mayo test code ENS1,8
Unlisted Lab: urine reducing substance,8
Unlisted Genetic Test: send out to Invitae test code 03401,8
Unlisted Lab: Zinc Transporter 8 (ZincT8),8
Anti Scl70 Antibody,8
Unlisted Lab: sendout - Repeat diagnostics test for telomere length,8
Unlisted Genetic Test: sendout to Invitae: neurometabolic/epilepsy panel - please draw 2 lavender top tubes,8
"Unlisted Lab: opiate confirmatory testing, send out to Mayo",8
Unlisted Genetic Test: Baylor Trio Whole Exome,8
"Unlisted Genetic Test: Comprehensive Diffuse Lung Disease NGS Panel, Johns Hopkins",8
Chlamydia Molec Detec,8
Unlisted Genetic Test: RNA Transcriptome MNG Labs,8
Unlisted Lab: MNG CSF Neurotransmitter - MET01,8
Unlisted Genetic Test: Send out to Invitae: Treatable neurometabolic disorders panel with reflex to whole exome sequencing,8
Unlisted Lab: Anti liver cytosol antibody,8
Unlisted Lab: Familial Hemophagocytic Lymphohistiocytosis (HLH) Panel,8
Unlisted Lab: NUDT15 haplotype resolving test,8
Unlisted Lab: NC07 SIALIC ACID,8
Unlisted Lab: Anti-ganglioside Antibody Panel - Washington University,8
Unlisted Genetic Test: Blood phenylbutyrate level to Baylor Genetics,8
Unlisted Genetic Test: Hematologics sendout (CBFA2T3-GLIS2 qPCR) - 3ml heparin -- paper requisition to be given to bedside RN,8
Unlisted Lab: Mayo Clinic Epilepsy Autoimmune Panel (CSF) Mayo Test ID: EPC1,8
Unlisted Lab: Mycoplasma titers to Mayo,8
Unlisted Lab: Metabolomics (CSF) send out to baylor,8
Unlisted Lab: Liver Cytosol Auto Ab-1,8
Unlisted Genetic Test: send out to Invitae; MUT gene testing,8
Unlisted Genetic Test: MNG labs Plasma Creatine and Guanidinoacetate,8
Unlisted Lab: anti-Zn T8,8
Unlisted Lab: H pylori culture and senstivities,8
Unlisted Lab: Hyaluronic acid serum level (sendout to ARUP),8
Unlisted Lab: CDS1 send out to mayo,8
Unlisted Genetic Test: NUD/CEP/TPMT Genotype Panel,8
Unlisted Lab: parvovirus PCR qualitative from CSF,8
Unlisted Lab: Zinc transporter antibiody,8
Unlisted Lab: MNG labs RNA-Seq SYNGAP1,8
"Unlisted Lab: tacrolimus level from 5/21 am, please send to santa clara valley medical center",8
Unlisted Lab: Autoimmune Epilepsy Panel (EPS1) - send-out to Mayo Clinic lab.,8
"Unlisted Lab: CSF thyroglobulin Ab, ARUP code 0050105",8
"Unlisted Lab: S100B CSF (code 2013358), ARUP",8
Unlisted Lab: Hematologics peripheral blood molecular test (FISH for CBFA2T3-GLIS2 fusion),8
Unlisted Lab: NMOCC (NMO/AQP4-IgG plus MOG on CSF),8
Unlisted Lab: extended drugs of abuse with mass spec to assess for synthetic marijuana,8
Unlisted Lab: Pleximmune. Please draw 3-5 mL blood of NA heparin light green top tube.,8
"Zika Virus RT-PCR, Non-blood",8
Unlisted Lab: Day 29 MRD to be sent to UW hematopathology,8
Unlisted Lab: paraneoplastic panel Mayo Lab code: PAC1,8
Unlisted Lab: serum autoimmune epilepsy panel,8
"Unlisted Lab: autoimmune encephalitis panel send out Mayo Lab, code: ENS1",8
Unlisted Lab: T cell receptor V beta spectrotyping,8
Unlisted Lab: ZnT8 transporter auto-antibody,8
Unlisted Lab: Send out to Mayo. Mannose binding lectin. Test ID MBL.,8
Unlisted Lab: Onfi / Clobazam level,8
Unlisted Lab: Anti-Enterocyte Ab (Mayo Clinic Laboratories - Test ID: FAEAB),8
Unlisted Lab: Soluble liver antigen autoantibody,8
"Unlisted Lab: ENS1: Encephalopathy, Autoimmune Evaluation, Serum",8
Unlisted Lab: EBV Stool PCR,8
Unlisted Genetic Test: Familial hemophagocytic lymphocytosis (HLH) panel,8
"Unlisted Lab: FOXP3 (Cincinnati sendout)-please attach requisition form, EDTA tube",8
Unlisted Genetic Test: InVitae Epilepsy Gene Panel,8
Unlisted Genetic Test: Genetic test,8
Unlisted Genetic Test: Invitae Primary Cillary Dyskinesia Panel,8
Unlisted Lab: IgG/IgM Toxo Panel. Send out lab to PAMF lab.,8
"Unlisted Lab: 4-5mL of peripheral blood in EDTA, please send to lab with DNL requisition form in front of green binder",8
Unlisted Lab: Autoimmune encephalitis panel to Mayo Clinic from CSF,8
"Unlisted Lab: Miravista, serum antigen cocci, urine antigen cocci",8
Unlisted Lab: ENS1 - Autoimmune encephalitis panel to be sent to mayo Clinic (Serum),8
Unlisted Lab: IgG index (CSF),8
Unlisted Genetic Test: sendout test to prevention genetics,8
Unlisted Lab: aspergillus pcr,8
"Unlisted Genetic Test: send out test to invitae, 3 ml blood in EDTA (purple top tube)",8
Unlisted Genetic Test: send out test to prevention genetics for GNAS sequencing (3 mL purple top tube),8
"Unlisted Lab: Phospholipase A2 Receptor Antibodies, Serum",8
"Unlisted Genetic Test: Neonatal Respiratory Distress - Surfactant Dysfunction Panel, Blueprint genetics. Order number 61249",8
LD Isoenzymes,8
Unlisted Genetic Test: Nephrotic Syndrome/FSGS Sequencing Panel with CNV Detection,8
Unlisted Genetic Test: FoundationOne Heme - bone marrow aspirate,8
IA-2 Antibody,8
Unlisted Lab: lab corp send out zika IgM test 163049 CPT 86794,8
"Unlisted Lab: Serum sendout to Mayo - ENS1 (red top tube, 4ml)",8
Unlisted Lab: stool test for enterovirus,8
"Vitamin B2, Ser/Plas",8
Unlisted Genetic Test: FoundationeOne HEME sendout requested on original tissue biopsy,8
Unlisted Lab: FOXp3 Cincinnati Children's,8
Unlisted Genetic Test: Genetic testing of the ACADVL gene through Invitae,8
Unlisted Lab: NC05 PYRIDOXAL 5 PHOSPHATE,8
Unlisted Lab: Mayo autoimmune encephalitis panel (unlisted ENS1),8
"Unlisted Lab: Day 8 peripheral blood MRD, clinical send out to University of Washington",8
Unlisted Lab: Coccidiodes urine antigen,8
Unlisted Genetic Test: send out to Baylor: molecular testing G6PC Comprehensive sequence and deletion/duplication analysis. Please send  out with requsition form which will be uploaded under media tab.,8
Unlisted Genetic Test: NUD/CEP/TMPT panel -- EDTA tube,8
Unlisted Lab: Anti myelin oligodendrocyte glycoprotein (MOG) antibody,8
"Unlisted Lab: Glucopsychosine, Blood",8
Unlisted Genetic Test: Hereditary Myeloid Malignancy and Inherited Bone Marrow Failure Panel through University of Chicago,8
Unlisted Lab: anti-enterocyte antibody,8
"Unlisted Genetic Test: CPOX Gene, full gene analysis, sent to MAYO Clinic, Test ID: CPOXZ",8
Unlisted Lab: Serum Encephalopathy Evaluation Panel to Mayo Clinic.,8
Unlisted Lab: Vedolizumab antibody level for sendout to prometheus labs,8
Unlisted Genetic Test: PHOX2B genetic testing: preventiongenetics,8
Unlisted Lab: Invitae Epilepsy Panel,8
Unlisted Lab: Hereditary PGL-PCC Panel,8
Unlisted Lab: Legionella PCR,8
Unlisted Lab: cocci immunodiffusion assay,8
"N-Methylhistamine, 24 Hour, Urine",8
"Unlisted Genetic Test: KidneySeq testing from Idaho. MUST be drawn on Thursday, 12/13",8
Unlisted Lab: Stanford Custom ISAC panel,8
"Unlisted Genetic Test: HMBS Gene, full gene analysis, sent to MAYO Clinic, TEST ID: HMBSZ",8
Unlisted Lab: RT-Qulc,8
"Unlisted Lab: Cocci antigen send out lab, red top tube 2ml blood",8
Unlisted Genetic Test: send out test to invitae for genetic testing,8
Unlisted Lab: Invitae Epilepsy Gene Panel,8
Unlisted Lab: Fulgent PH and Hereditary hemorrhagic telangiectasia panel,8
Unlisted Lab: Human Herpese Virus -7 Quantitative PCR,7
"Unlisted Lab: 4 mls in EDTA  lavendar tube, ""for BK IgG Elisa to Viracor test code 2300""",7
Unlisted Lab: Cincinnati Children's Familial HLH Panel - Saliva specimen,7
"Unlisted Lab: Baylor Global MAPS Test code 4902, Send-out",7
Unlisted Lab: perforin/granzyme B assay send out to Cincinnati,7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 24 hours after starting cisplatin",7
Unlisted Lab: Myelin Oligodendrocyte Glycoprotein (MOG-IgG1) Fluorescence-Activated Cell Sorting (FACS) Assay,7
Unlisted Lab: Autoimmune encephalitis panel . send out to Mayo clinic,7
Unlisted Lab: Aspergillus PCR sent out to focus diagnostic. Test code 18873,7
Unlisted Lab: Polyneuropathy panel send out to Washington University,7
Unlisted Lab: JC VIrus PCR,7
Unlisted Lab: trypsin (trypsinogen),7
"Unlisted Lab: body fluid Bicarbonate from pancreatic drain, post-MRCP. Please report actual value. OK to dilute sample.",7
"Unlisted Lab: Gene testing to be sent to Mayo Laboratory. 3mL in Lavender top (EDTA) -minimum volume 0.5mL. Please send ""HHT Gene Testing MML Supply T650"" form with specimen",7
Unlisted Lab: Cow's milk precipitin (or cow's milk precipitating antibodies) - sent to VIracor labs.,7
Unlisted Lab: Serum methanol,7
Unlisted Lab: Sendout lab for familial hemophagocytic lymphohystiocytosis (cincinnati),7
Unlisted Lab: Athena NPHS2 DNA Sequencing Test Code: 710,7
Unlisted Lab: Unlisted Lab: LAD1 (=CD18 expression) and LAD2 (=CD15 expression) (Order #712025255) on 8/29/15,7
"Unlisted Lab: Angelman syndrome methylation analysis - to be run at Baylor, purple top tube",7
"Unlisted Lab: Skeletal dysplasia ciliopathy NGS panel, send to CTGT lab",7
Unlisted Lab: Baylor congenital myopathy panel,7
Unlisted Lab: HSV Quantitative PCR from blood,7
Unlisted Lab: MSMD screen. Please send 10-20 cc for flow cytometry and screen. Please send with requistion form.  Please collect in a green top vacutainer tube,7
Unlisted Lab: CD40L mutation analysis (hyper IgM syndrome),7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 9 hours after starting cisplatin",7
Unlisted Lab: Telomere Length Measurement 6 panel Assay,7
"Unlisted Lab: osteogenesis imperfecta NGS panel-dominant, test code 5099, send out to CTGT lab",7
"Unlisted Lab: Trio Whole Exome Sequencing, sendout to Baylor Laboratories",7
Unlisted Lab: Prometheus Celiac Serologgy Lab #1155,7
"Unlisted Lab: Drug-Dependent Platelet Antibodies, 2 ml plain red tube, send to blood center of Wisconsin",7
Unlisted Lab: Cytogenetics CGH,7
Unlisted Lab: WHOLE EXOME SEQUNECING_ PLEASE send along with maternal blood sample for control to BAYLOR MIRACA LABS,7
"Unlisted Lab: Please send Lyme Disease (Borrelia spp) DNA Qualitative Real-Time PCR, Synovial Fluid/CSF to focus diagnostics from the available synovrial fluid.",7
Unlisted Lab: Gene Dx Infantile Epilepsy Panel,7
Chagas Disease,7
Unlisted Lab: MICA antibody and endothelial cell crossmatch,7
Unlisted Lab: Oklahoma dermatomyositis panel,7
Unlisted Lab: Gene Dx epilepsy panel per Gene Dx form. Collect in lavender tube 2-5 mL. Please refrigerate and send Monday.,7
Unlisted Lab: genetic testing,7
Unlisted Lab: Prometheus ANSER ADA - serum adalimumab levels and antibodies to adalimumab,7
Unlisted Lab: Urine indicans,7
Unlisted Lab: Cytokine Panel,7
Unlisted Lab: CSF Pyruvate. Send out lab to MNG.,7
"Unlisted Lab: Parecho virus PCR, send to ARUP laboratory",7
Unlisted Lab: HLH sendout to Cincinnati Childrens,7
"Unlisted Lab: Send-out test - for more information, please see comments below.",7
Unlisted Lab: Autoimmune Encephalitis Panel from CSF. Lab Code: ENCEC,7
"Unlisted Lab: GeneDX comprehensive cardiomyopathy panel, test # 694",7
Unlisted Lab: ethambutol drug level 0091319 ARUP labs,7
"Unlisted Lab: cytokines, intracellular, FOXP3 - send out to Cincinnati Childrens",7
"Unlisted Lab: 3 red-top tubes: 2 ml for myositis Ab profile, 1 ml for U3RNP test, 1 ml for TH/TO test to OMRF Labs. OK TO HOLD SPECIMEN AT ROOM TEMP OR FRIDGE IN LAB AND SEND OUT WITH NEXT COURIER AS ABLE.",7
Unlisted Lab: Please send Total Bili on Fluid from JP.,7
Unlisted Lab: Day 8 MRD to send out to UW hematopathology - 5ml peripheral blood in EDTA (paperwork in blue chart),7
Unlisted Genetic Test: Whole Exome sequencing to Prevention Genetics,7
"Unlisted Lab: send out lab to Oklahoma Medical Research Foundation (Myositis antibody profile, P155, MJ, MDA-5)",7
"Unlisted Genetic Test: Gene Dx Epilepsy. One lavendar top tube, 5-6 mL. Please send sample with paper form.",7
"Unlisted Lab: Test code: ENCEC, autoimmune encephalitis panel send to Mayo",7
Unlisted Lab: Gene Dx Epilepsy Panel,7
Unlisted Lab: Autoimmune Encephalitis Panel Test ID: ENCES,7
Unlisted Lab: Perforin/Granzyme B. Send out to Cincinnati,7
Unlisted Lab: MJ by Western Blot,7
Unlisted Lab: CSF Pyridoxal 5' Phosphate. Send out lab to MNG.,7
Unlisted Lab: CSF pipecolic acid. Send out lab to ARUP.,7
Unlisted Lab: CSF Succinyladenosine. Send out lab to MNG.,7
Unlisted Lab: CSF Alpha-aminoadipic semialdehyde. Send out lab to MNG.,7
"Unlisted Lab: Send out lab: 1,3 beta glucan",7
Unlisted Lab: Parecho virus 1ml ARUP 2005731 on CSF,7
Unlisted Lab: 5 ml EDTA to be sent to Repeat Diagnostics for telomere studies,7
"Unlisted Lab: Please send ""Borrelia Species DNA Detection by PCR"" to ARUP labs, test code 0055570",7
Unlisted Lab: Cysticercosis Ab IgG ELISA,7
Unlisted Lab: 1 mL blood in royal blue top tube send out to Mayo for serum platinum level to be drawn 3.5 hours after completion of Cisplatin infusion,7
Unlisted Lab: 1 mL blood in royal blue top tube send out to Mayo for serum platinum level to be drawn 22 hours after completion of Cisplatin infusion,7
Unlisted Lab: 1 mL blood in royal blue top tube send out to Mayo for serum platinum level to be drawn 5.5 hours after completion of Cisplatin infusion,7
Unlisted Lab: Moleculera-Cunningham - Requisition Required for Send Out,7
Unlisted Genetic Test: MTHFR (Methylene tetrahydrofolate reductase) gene deletion,7
Unlisted Lab: Sendout: To Medical College of Wisconsin. HYPER IGM.,7
"Unlisted Lab: beta-d glucan, fungitell",7
Unlisted Lab: Myositis antibody profile,7
Unlisted Lab: MDA-5 (CADM-140) by Western Blot,7
Unlisted Lab: ZnT8 (Zntransporter),7
Unlisted Lab: azathioprine (IMURAN) level,7
Unlisted Lab: Invitae Comprehensive Arrhythmia Panel,7
Unlisted Lab: Send out lab: Aspergillus PCR,7
Unlisted Lab: for perforin/granzyme B testing at Cincinnati Children's Hospital Diagnostic Immunology Lab,7
Unlisted Lab: send-out Aspergillus PCR (5 mL in EDTA purple top tube),7
Unlisted Lab: ZnT8 (Zn transporter),7
"Unlisted Lab: S-100B Protein, Serum from ARUP labs (CPT code 86316)",7
Unlisted Lab: Thyroglobulin LC/MS,7
"Unlisted Lab: 1,3 beta-glucan serum level",7
Unlisted Lab: Red top.  Test Code FCLBZ,7
Unlisted Lab: autoimmune encephalopathy evaluation send out to Mayo Clinic Test ID ENCES red top tube 4 ml,7
"Unlisted Lab: 1,3-beta glucan assay",7
"Unlisted Lab: OTC gene sequencing and del dup, code 313E, send to Gene Dx",7
Unlisted Lab: CD107A MOBILIZATION (NKCELL DEGRAN),7
"Unlisted Lab: PTSE, 1 mL royal blue top vacutainer tube. 12 hours after starting cisplatin",7
"Unlisted Lab: bile acid assay mass spectroscopy, send to Cincinatti",7
Lipid Panel,7
Unlisted Lab: AUTOIMMUNE ENCEPHALITIS ANTIBODY PANEL - ENCEC,7
"Unlisted Lab: BK virus IgG ELISA, test code: 2300",7
Unlisted Lab: GeneDx Comprehensive Epilepsy Panel,7
Unlisted Lab: NK cell function assay send to Cincinnati,7
"Unlisted Lab: body fluid Bicarbonate, from pancreatic drain. Pre-MRCP. Please report actual value, OK to dilute sample.",7
"Unlisted Lab: anti-GAD antibodies, CSF sample.",7
Unlisted Lab: Catecholamine Fractioned Random,7
Unlisted Lab: Please send Toll Like Receptor Signaling to Wisconsin ( or Cinncinati if possible),7
Unlisted Lab: Cunningham Panel ( Please send with send out form),7
Unlisted Lab: Baylor test code 4902: Global Metabolomic Assisted Pathway Screen; send 1-2 cc CSF frozen,7
"Unlisted Lab: Please send for ""Aspergillus DNA, Qualitative Real Time PCR"" to focus diagnostics. Send 2-3 ml of blood in EDTA, ACD to focus diagnostics.",7
Unlisted Lab: Cunningham Panel ( please use send out sheet),7
"Unlisted Lab: Please send for ""Aspergillus DNA, Qualitative Real Time PCR"" to focus diagnostics. Send 2-3 ml of BAL fluid.",7
"Unlisted Lab: 1,3 beta D glucan assay",7
Unlisted Genetic Test: Invitae epilepsy panel: Add on preliminary-evidence genes for epilepsy (50 genes),7
Unlisted Lab: Chikunguna IgM and IgG - to Focus diagnostics,7
Unlisted Lab: Japanese encephalitis virus AB (IgG+IgM) - to ARUP lab 2005689,7
Unlisted Genetic Test: PDHA1 Comprehensive at Baylor MGL,7
Unlisted Lab: Please draw 2 ml into a lavender top tube,7
"Unlisted Lab: Encephalopathy, Autoimmune Evaluation (ENCES), Serum in Red Top tube, 4mL - Send out to Mayo",7
Unlisted Lab: Ganciclovir level,7
Unlisted Lab: Autoimmune encephalitis panel (ENCEC) send out to Mayo Clinic,7
Unlisted Lab: neopterin,7
Unlisted Lab: pyridoxal-5-phosphate,7
"Unlisted Lab: mayo autoimmune encephalopathy panel, Test ID: ENCEC, 4 mL",7
Unlisted Lab: progressive myoclonic epilepsy panel -- send out lab to gene dx. 5mL in lavender top tube.,7
Unlisted Lab: JC virus DNA PCR,7
Unlisted Lab: SEND OUT TO QUEST: VLCFA ( Very long chain fatty acid); Test Number: 90559 CPT Code: 82726,7
Unlisted Lab: D-lactate 1 ml in a grey top.,7
Thyroid Stimulating Immunoglobulin,7
Unlisted Lab: National Jewish Center C5a,7
Misc Processing,7
Unlisted Lab: Mayo Clinic  Autoimmune Encephalitis Panel from serum. Order Code ENCES,7
Unlisted Lab: urine reducing substances,7
"Unlisted Lab: Toxoplasmosis IgG, IgM, and IgA. Send to Remington Lab at PAMF.",7
Unlisted Lab: 5-6 ml in a lavender tube. Would like childhood-onset epilepsy panel,7
Unlisted Lab: serum aquaporin4 IgG,7
"Unlisted Lab: Aspergillus PCR, reference code: 48003, send-out to focus",7
Unlisted Lab: HOUR 24 cisplatin level,7
Unlisted Lab: HOUR 48 cisplatin level,7
"Unlisted Lab: Please send ""Parechovirus Detection by PCR"" to ARUP labs. Test code: 2005733",7
Unlisted Lab: Allergic Bronchopulmonary Aspergillosis Panel,7
"Unlisted Lab: 1,3 beta D glucan. Send out lab.",7
Unlisted Lab: ASCA (anti-saccharomyces cerevisiae antibodies),7
Unlisted Lab: GENE DX COMPREHENSIVE EPILEPSY PANEL,7
"Mucopolysaccharides Quant, Urine",7
Unlisted Lab: Please perform 24 hours urine collection for 11 beta-prostaglandin F2 alpha (Test ID:  BPG2) and  N-Methylhistamine (Test ID: NMHIN):,7
Unlisted Lab: Gene Dx Comprehensive Metabolic Epilepsy Panel,7
Unlisted Lab: d-lactate - serum,7
Unlisted Lab: National Jewish Center: C4a,7
"Unlisted Lab: Anti liver cytosol 1 Ab, Test code 10527 to Quest",7
Unlisted Lab: Sendout: To Medical College of Wisconsin. T CELL INTERLEUKIN PROLIFERATION,7
Unlisted Lab: NATIONAL jEWISH cENTER C4a,7
Unlisted Lab: National Jewish C4a,7
Unlisted Lab: Please send to National Jewish Center C3A,7
"Bone Alk Phosphatase, Serum",7
Unlisted Lab: Inherited Focal and Segmental Glomerulosclerosis Evaluation,7
"Unlisted Lab: Send out to focus Toxoplasma gondii DNA, Qualitative Real-Time PCR (test code 46000) on liver biopsy specimen",7
"Unlisted Lab: Jaundice Panel (ABCB4, ABCB11, ATP8B1, JAG1, TJP2 genes), send-out to Cincinnati Children's",7
"Beta 2 Transferrin, Fld",7
"Unlisted Lab: Autoimmune encephalitis panel of CSF, send out to MAYO",7
Unlisted Lab: GeneDx 541 - Infantile Epilepsy Panel,7
Unlisted Lab: HOUR 12 cisplatin level,7
Unlisted Lab: Cunningham Panel,7
Unlisted Lab: National Jewish Center C3a,7
Unlisted Lab: coccidiomycosis urine antigen to Miravista labs,7
Unlisted Lab: toxoplasma Ab newborn panel - please send to PAMF reference laboratory,7
Unlisted Lab: Aspergillus PCR. Send out to Focus Diagnostics. CPT code 87798X3.,7
Unlisted Lab: Oklahoma Medical Research Foundation Myositis Panel,7
