Name,Description
146539,IMAGING PROCEDURE SCANNED REPORT
RXCUI283810,Bimatoprost
RXCUI2418,Cholecalciferol
LABHBSQL,ANTI-HBS QUAL
LABPCACTK,ISTAT ACTIVATED CLOTTING TIME
LABHBSQT,HEP B SURF AB QUANT
RXCUI11246,Vitamin A
IMGUSPTV,US PELVIS NON OB W TRANSVAG
2109368,ARTERIAL LINE
DIET104,DIET LOW CHOLESTEROL LOW SATURATED FAT
IMGFLDYSS,XR DYSPHAGIA WITH SPEECH PATHOLOGIST
RXCUI7476,Nitroprusside
LABFAL,"ALBUMIN, FLUID"
CON351,CONSULT TO INFECTIOUS DISEASE
LABCFRESP,CYSTIC FIBROSIS RESPIRATORY CULTURE
RXCUI2683,Colchicine
RXCUI52175,Losartan
LABAHP2,ACUTE HEPATITIS PANEL
RXCUI73645,Valacyclovir
2109364,PARACENTESIS
ECH36,ECHO - ADULT
LABYCCPIG,ANTI CCP
LABFIB,FIBRINOGEN
RXCUI35208,Quinapril
RXCUI253181,"Nph Insulin, Human"
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,8591,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Chloride-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
MED2516,Atropine-Diphenoxylate
LABERUFFP,EMERGENCY RELEASE PLASMA
IMGDXSH1LT,XR SHOULDER 1V LT
OT1,OT EVALUATE AND TREAT
RXCUI9344,Ribavirin
MED78963,Egg Yolk Phospholipids-Glycerin-Safflower Oil-Soybean Oil
IMGCTAP,CT ABDOMEN PELVIS
RXCUI114200,Citrate
RXCUI4603,Furosemide
CON366,NSG REFERRAL TO FINANCIAL REP
MED14862,Glucose-Potassium Chloride-Sodium Chloride
LAB11242R,VZV QUANT
RXCUI69120,Tiotropium
RXCUI1292,Baclofen
IMGCTHFC,"CT HEAD, FACIAL BONES & C SPINE"
RXCUI261435,Sodium Ferric Gluconate Complex
ECH34,ECHO - 3-DIMENSIONAL ECHO
MED91791,Ascorbic Acid-Folic Acid-Vitamin B Complex
LABADPCRQ,"ADENOVIRUS REAL TIME PCR,QUANTITATIVE"
CG05,"CHROMOSOME ANALYSIS, CANCER DIAGNOSIS"
VSC08,VSC RENAL ULTRASOUND
LABPTEG,"TEG, PERIOPERATIVE"
LABUPREG,"PREGNANCY TEST, URINE"
LABCMVIGG,CMV IGG
PRE2,SUICIDE PRECAUTIONS
CON413,CONSULT TO DERMATOLOGY
RXCUI337623,Dornase Alfa
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
RXCUI6581,Magnesium Hydroxide
LABFTRPL,"TRIGLYCERIDES, PLEURAL"
RXCUI7531,Nortriptyline
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,9671,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
RXCUI8703,Fenofibrate
HIMS10,X-RAY/ULTRASOUND REPORT
LABAFBSO,AFB SMEAR ONLY
RXCUI77492,Tamsulosin
RXCUI733,Ampicillin
RXCUI6703,Megestrol
LABMMAS,"METHYLMALONIC ACID, SERUM"
IMGDXCLAVRT,XR CLAVICLE RT
LABDATBSI,DIRECT COOMBS BROAD SPECTRUM
LABGGT,GAMMA - GLUTAMYL TRANSFERASE
RXCUI8120,Phenazopyridine
RXCUI31555,Nebivolol
RT100,RESP - INTRAPULMONARY PERCUSSIVE VENTILATION
RXCUI3361,Dicyclomine
IMGFLBE,XR BARIUM ENEMA
"RXCUI426,1091,1908,21032,21579,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
LABFADAG,"ADENOVIRUS AG, STOOL"
LABBHB,BETA-HYDROXYBUTYRATE
RXCUI358257,Tolvaptan
IMGDXAN3RT,XR ANKLE 3V RT
REF94,REFERRAL TO PHYSICAL THERAPY
MED9788,Calcium Chloride-Glucose-Lactate-Potassium Chloride-Sodium Chloride
RXCUI22299,Daptomycin
RXCUI7145,Mycophenolic Acid
IMGCTHPRW,CT HEAD PERFUSION W CONTRAST
RXCUI3247,Desipramine
LABFKOH,FUNGAL CULTURE AND KOH
RXCUI1815,Bupivacaine
LAB11136R,HTLV AB
RXCUI2356,Chlordiazepoxide
REF89,REFERRAL TO ANTICOAG CLINIC
RXCUI7646,Omeprazole
IMGMRHWWO,MR BRAIN WITH AND WITHOUT CONTRAST
IMGUSAB1,US ABDOMEN
IMGDXCHPNB,XR CHEST POST NEEDLE BIOPSY
RXCUI52582,Mesalamine
LABVCULR,"VIRAL CULTURE, RESPIRATORY"
RXCUI2189,Cefoxitin
RT99,RESP - TRACH HIGH FLOW CPAP
LABEBVQP,"EBV PCR QUANT, PLASMA"
RXCUI8787,Propranolol
RXCUI282446,Posaconazole
LABHGBX,HEMOGLOBIN
LABTT4,"T4, TOTAL"
IMGDXHIP2PRT,HIP 2 VIEWS RIGHT AND PELVIS
LABNONGYN,NON-GYN CYTOLOGY EXAM
MED206739,Acetaminophen-Hydrocodone
IMGMRAH,MR ANGIO HEAD
RXCUI7407,Nicotine
RXCUI7233,Nafcillin
LABA1C,HEMOGLOBIN A1C
DIET112,DIET CARBOHYDRATE CONTROLLED
LABSTLC,STOOL CULTURE
"RXCUI426,1091,1908,21032,21579,4278,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8737,253182,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Famotidine-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Proline-Regular Insulin, Human-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
MED540103,HELP ORDER
LABAT3,ANTITHROMBIN III
IMGDXPEL,XR PELVIS 1V
VSC02,VSC CAROTID VERTEBRAL ARTERY ULTRASOUND
POC24,POC ISTAT TROPONIN I
RXCUI325642,Ertapenem
LABRESPG,RESPIRATORY CULTURE AND GRAM STAIN
IMGDXWR3RT,XR WRIST 3V RT
IMGDXAB3,"XR ABDOMEN W AP, UPRIGHT, DECUB & DIAPHRAGM"
LABHCPQ,HEPATITIS C RNA PCR QUANTITATIVE
LABAFBC,"AFB CULTURE, RESPIRATORY"
RXCUI75635,Eptifibatide
LABYPTHRP,"PTH-RELATED PEPTIDE, PLASMA"
IMGDXABROF,XR ABDOMEN OUTSIDE STUDY FOR REFERENCE ONLY
RT111,RESP-NASAL CPAP FOR OBSTRUCTIVE SLEEP APNEA
RXCUI7396,Nicardipine
MED38285,Aluminum Hydroxide-Magnesium Hydroxide-Simethicone
LABIGA,"IGA, SERUM"
IMGDXHUMLT,XR HUMERUS 2V LT
CON371,CONSULT TO ONCOLOGY
IMGMRABWWO,MR ABDOMEN WITH AND WITHOUT CONTRAST
CON372,CONSULT TO RADIATION ONCOLOGY
LABYBOH,BETA-HYDROXYBUTYRATE
LABQFTBG,QUANTIFERON TEST FOR LATENT TB
IMGMRSL,MR L-SPINE
LABBMCEBP,"DETECTION OF CEBPA, BONE MARROW"
RXCUI10582,Thyroxine
RT95,RESP - AIRWAY PRESSURE RELEASE VENTILATION
LABEITC,TRANSFUSION EMERGENCY ISSUE
CR100,CERVICAL COLLAR
LABHELI,HELICOBACTER PYLORI AB
LABTRFN,TRANSFERRIN
LABRITUX,RITUXAN PANEL
RXCUI6878,Methylene Blue
LABWDCS,"WOUND CULTURE AND GRAM STAIN, DEEP / SURGICAL / ASP"
LABUPIE,URINE PROTEIN IMMUNOFIXATION ELECTROPHORESIS
LABFAMY,"AMYLASE, FLUID"
CON100,CONSULT TO NUTRITION
RXCUI2551,Ciprofloxacin
IMGMRSTOW,MR STEREOTACTIC ON-CALL WITH CONTRAST
LABCMV,CMV AB TOTAL
LABPROTS,PROTEIN S ACTIVITY
IMGDXSPL2,"XR SPINE, LUMBAR 2V"
RXCUI84857,Anastrozole
RXCUI1191,Aspirin
GIEGD,UPPER GI ENDOSCOPY
2109357A,CENTRAL LINE GENERAL SURGERY
RXCUI29561,Meropenem
RXCUI4452,Fludrocortisone
IMGUSVULORT,US VEIN LOWER EXTREMITY RIGHT R/O DVT
RXCUI283838,Darbepoetin Alfa
CR101,CERVICAL COLLAR
IMGCTLRT,CT LOWER EXTREMITY RT
RXCUI8308,Vitamin K 1
RXCUI7213,Ipratropium
RXCUI8163,Phenylephrine
10290R,HLA - TYPING
LABIBIL,"BILIRUBIN INDIRECT, SERUM"
MED4318,Calcium Chloride-Lactate-Potassium Chloride-Sodium Chloride
LABHSVCSF,"HSV DNA PCR QUAL, CSF"
LABMALAR,MALARIA PREP
GIFSIG,FLEXIBLE SIGMOIDOSCOPY
DIET106,DIET LOW MICROBIAL
LABIGG,"IGG, SERUM"
LABRFRPT,REFERENCE REPORT
RXCUI33738,Pioglitazone
LABLUPUS,LUPUS ANTICOAGULANT
RXCUI2186,Cefotaxime
"RXCUI426,1091,1908,4850,4919,5340,6033,6308,6536,6585,6837,8156,54987,8737,9671,56443,9863,236719,235496,10524,10898,10962,11115","Alanine-Arginine-Calcium Gluconate-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Methionine-Phenylalanine-Potassium Acetate-Proline-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine"
CON377,CONSULT TO PHARMACY
RXCUI7514,Norethindrone
RXCUI8591,Potassium Chloride
LABVOLTL,VOLATILE SCREEN
LABALT,"ALT, SERUM/PLASMA"
IMGUSNVLOW,US VEIN LOWER EXTREMITY BILAT R/O DVT
MED92914,Fluticasone-Salmeterol
LABHEPAR,"HEPARIN, UNFRACTIONATED, ANTI XA"
RXCUI196102,Basiliximab
LABLIL,LITHIUM
RXCUI602811,Lactobacillus Rhamnosus Gg
LABDHBP,HEPATITIS B DIAGNOSTIC PANEL
RXCUI167,Acetazolamide
RXCUI1151,Ascorbic Acid
LABBFCT,"CELL COUNT AND DIFF, FLUID"
RXCUI108118,Mometasone
RXCUI35636,Risperidone
RXCUI314504,Anti-Inhibitor Coagulant Complex
MED14866,Glucose-Potassium Chloride-Sodium Chloride
DIET110,DIET POST GASTRIC SURGERY
DIET133,DIET POST SURGICAL
RXCUI36676,Sodium Bicarbonate
ECH15,ECHO - TRANSTHORACIC ECHO
RXCUI4179,Etoposide
LABGLNF,"GLUCOSE NON-FASTING, SERUM/PLASMA"
LABYFT3,"T3, FREE"
PATH16,"BONE MARROW BIOPSY, ASPIRATE"
LABFVARZ,"VARICELLA ZOSTER VIR. DNA,QUAL"
CON359,CONSULT TO NEPHROLOGY
OT29,OT SPLINT EVALUATE AND TREAT
2109357B,CENTRAL LINE SEPTEMBER
LAB11068R,ACE
RXCUI8183,Phenytoin
MED198721,Folic Acid-Multivitamin Preparation-Coenzyme Q10
REF29,REFERRAL TO CARDIOLOGY
LABREPT,REPTILASE TIME
LABUUNT,"UREA NITROGEN, URINE"
NUR701,TRANSFUSE PLATELETS
RES4,ADULT
RXCUI8814,Epoprostenol
RXCUI321208,Fondaparinux
IMGCTPEP,CT PULMONARY EMBOLISM & LOWER EXTREMITY
LABVANUNL,VANCOMYCIN SINGLE DAILY DOSE LEVEL
RXCUI3992,Epinephrine
RXCUI253182,"Regular Insulin, Human"
LABPREG,"PREGNANCY TEST, SERUM"
LABC3,"COMPLEMENT C3, SERUM"
RXCUI5487,Hydrochlorothiazide
RXCUI6676,Meclizine
MED229690,SODIUM GLYCEROPHOSPHATE 1 MMOL/ML IV SOLN
RXCUI623400,Lacosamide
RXCUI51272,Quetiapine
OT5,OT SWALLOW ONGOING TREATMENT
RT109,RESP - NEBULIZER
LABYFGL,"GLUCOSE, FLUID"
COD1,DNR
RXCUI2623,Clotrimazole
IMGDXSPT,"XR SPINE, THORACIC 2V"
RXCUI6926,Mexiletine
RXCUI7426,Nimodipine
LABCZPL,"CARBAMAZEPINE, SERUM"
IMG4NA,ANGIOGRAM CEREBRAL
RXCUI4053,Erythromycin
LABLACWB,"LACTATE, WHOLE BLOOD"
LAB11049R,NSE
RXCUI6711,Melatonin
IMGDXSH2RT,XR SHOULDER 2V RT
LABACA,ANTI CARDIOLIPIN AB
RXCUI121191,Rituximab
LABBLCA,"AFB CULTURE, BLOOD"
RXCUI56512,Sodium Polystyrene Sulfonate
RXCUI10324,Tamoxifen
RXCUI7804,Oxycodone
CON376,CONSULT TO PLASTIC SURGERY
RXCUI85762,Ritonavir
RXCUI319864,Cisatracurium
RXCUI6468,Loperamide
LABWNVAB,"WEST NILE VIRUS AB PANEL, CSF"
NUR819,TRANSFUSE FFP
LABYUCDA,"CONFIRMED DRUG ABUSE SURVEY, URINE"
CON400,CONSULT TO GASTROENTEROLOGY
RXCUI10627,Tobramycin
LABCEA,CEA
IMGCTTAPROF,CT CHEST/ABDOMEN/PELVIS OUTSIDE STUDY FOR REFERENCE ONLY
LABLEGDA,LEGIONELLA CULTURE
LABTP,"PROTEIN TOTAL, SERUM/PLASMA"
RT108,RESP - MDI
RXCUI7512,Norepinephrine
"RXCUI426,1091,1908,21032,21579,4278,4850,4919,5340,6033,6308,6536,6585,29261,6837,89905,8156,54987,8591,8737,253182,9671,56443,9863,236719,235496,10524,10898,10962,11115,8308,39937","Alanine-Arginine-Calcium Gluconate-Chromous Chloride-Copper Sulfate-Famotidine-Glucose-Glycine-Histidine-Isoleucine-Leucine-Lysine-Magnesium Sulfate-Manganese Chloride-Methionine-Multivitamin Preparation-Phenylalanine-Potassium Acetate-Potassium Chloride-Proline-Regular Insulin, Human-Serine-Sodium Acetate-Sodium Chloride-Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic-Threonine-Tryptophan-Tyrosine-Valine-Vitamin K 1-Zinc Chloride"
IMGCTROF,CT READING OUTSIDE FILM
DIET124,DIET TUBE FEEDING AND MEAL TRAY
RXCUI4917,Nitroglycerin
LABUAPRN,"URINALYSIS, SCREEN FOR CULTURE"
LABOSM,"OSMOLALITY, SERUM"
RXCUI18867,Benazepril
MED92811,Albuterol-Ipratropium
RT82,RESP - UNLISTED RESPIRATORY CARE ORDER
IMGCTT,CT THORAX
RXCUI103,Mercaptopurine
RXCUI38413,Torsemide
MED540894,INFLUENZA 2013-14 VAC
RXCUI3108,Dapsone
RXCUI322167,Solifenacin
LABYWNILE,"WEST NILE VIRUS AB, IGG AND IGM"
LABYMPA,MYCOPHENOLIC ACID
RXCUI107044,Rabbit Anti-Human T-Lymphocyte Globulin
RXCUI6313,Leucovorin
LABPCINR,ISTAT INR AND PROTIME
PRE17,TOTAL HIP PRECAUTIONS
CON303,CONSULT TO CARDIOLOGY
IMGDXAN2RT,XR ANKLE 2V RT
LABIGET,TOTAL IGE
RXCUI2590,Clobetasol
POC26,POC URINE PREGNANCY
LAB11098R,1 25 OH VITAMIN D
RXCUI68149,Mycophenolate Mofetil
LABCRPLB,"CRYPTOCOCCAL AG LATEX, BLOOD"
RXCUI4110,Ethambutol
RXCUI3443,Diltiazem
RXCUI1827,Buspirone
RXCUI60207,Dorzolamide
RXCUI2180,Cefazolin
POC27,POC HEMOCCULT FOR FECAL BLOOD
LABHIPA,HEPARIN INDUCED PLATELET AGGREGATION
DIET108,DIET RENAL
IMGDXHIP1PLT,HIP 1 VIEW LEFT AND PELVIS
IMGMRHT,MR HEART MORPHOLOGY AND FUNCTION
LABVSTLC,VIRAL STOOL CULTURE
MED96559,Glucose-Piperacillin-Tazobactam
IMGUSVUUPRT,US VEIN UPPER EXTREMITY RIGHT R/O DVT
RXCUI5650,Idarubicin
RXCUI6585,Magnesium Sulfate
RXCUI8691,Primidone
RXCUI1596,Bisacodyl
IMGDXHIP1LT,XR HIP 1V LT
LABCRPLC,"CRYPTOCOCCAL AG LATEX, CSF"
LABFER,FERRITIN
PATH20,NON-GYN CYTOLOGY
IMGUSTIPS,US TIPS EVALUATION
RXCUI33562,Foscarnet
CON332,CONSULT TO RHEUMATOLOGY
CON345,CONSULT TO HEMATOLOGY
LABBKVPC,"BK VIRUS PCR, QUANT, PLASMA"
LABIGP,"IG PANEL, SERUM"
RXCUI114477,Levetiracetam
LABSTFAT,"FAT STAIN, STOOL"
RXCUI42954,Vitamin B6
LABCBCD,CBC WITH DIFF
LABT3,"T3, TOTAL"
LABDSDNA,ANTI - DSDNA AB
RXCUI4493,Fluoxetine
RXCUI1037042,Dabigatran Etexilate
LABCDTPCR,"C.DIFF TOXIN B GENE, QUAL. REAL-TIME PCR"
RXCUI4441,Flecainide
RXCUI2709,Colistin
MED14863,Glucose-Potassium Chloride-Sodium Chloride
RXCUI56443,Sodium Acetate
LABRETIC,RETICULOCYTE COUNT AUTOMATED
RXCUI2002,Carbamazepine
IMGCT3T,CT ANGIO CHEST
LABCMVPQ,CMV PCR QUANTITATIVE
PRE16,STERNAL PRECAUTIONS
LAB11030R,EB VIRAL CAPSID AG IGG AB
RXCUI139462,Moxifloxacin
RXCUI67108,Enoxaparin
RXCUI7597,Nystatin
MED540744,"Mineral Oil-Petrolatum, White"
IMGDXSH2LT,XR SHOULDER 2V LT
RXCUI83367,Atorvastatin
RT102,RESP - THERAPY VEST
PT11,PT GAIT TRAINING
RXCUI42351,Lithium Carbonate
LABVP4,COMP HEPATITIS PANEL
PRE5,FALL RISK PRECAUTIONS
IMGCT3HN,CT ANGIO HEAD AND NECK
LABCORTS,"CORTISOL, POST OP"
IMGMRSTWWO,MR T-SPINE WITH AND WITHOUT CONTRAST
LABRESP,RESPIRATORY CULTURE
RXCUI10379,Testosterone
CG08,"FISH ANALYSIS,CANCER DIAGNOSIS"
LABPLTS,PLATELET COUNT
LABANER,ANAEROBIC CULTURE
LABSURG,SURGICAL PROCEDURE
SLP2,SLP EVALUATE AND TREAT
RXCUI68442,Filgrastim
PT4,PT EVALUATE AND TREAT
RXCUI8928,Psyllium
NUR700,TRANSFUSE RED BLOOD CELLS
RXCUI105694,Epoetin Alfa
LABLAMOL,LAMOTRIGINE LEVEL
MED540115,Calcium Chloride-Lactate-Potassium Chloride-Sodium Chloride
RXCUI3041,Cytarabine
LABUTPRAN,"PROTEIN WITH CREATININE, URINE"
ISO7,RESPIRATORY ISOLATION
NUR702,TRANSFUSE FRESH FROZEN PLASMA
RXCUI6218,Lactulose
RXCUI1808,Bumetanide
MED90206,"Sodium Phosphate, Dibasic-Sodium Phosphate, Monobasic"
LABCMVP,"CMV DNA PCR QUAL, NON-PLASMA"
RXCUI25480,Gabapentin
IMGNEPETLYMPH,PET CT LYMPHOMA
LABCORT,"CORTISOL, SERUM"
MED94959,Egg Yolk Phospholipids-Glycerin-Soybean Oil
RXCUI36387,"Sennosides, Usp"
RXCUI7393,Niacin
LABBLCTIP,BLOOD CULT - 2ND SET VIA CATHETER
RXCUI44,Mesna
VSC05,VSC VENOUS ULTRASOUND
MED14966,Acetaminophen-Hydrocodone
IMGFLUNLIST,XR FLUORO UNLISTED EXAM
RXCUI1114195,Rivaroxaban
LABYHISTS,"HISTOPLASMA AG, SERUM"
RXCUI3639,Doxorubicin
